,location,Celková cena,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Umístění objektu,Podlaží,Užitná plocha,Sklep,Datum nastěhování,Voda,Topení,Elektřina,Doprava,Komunikace,Energetická náročnost budovy,Průkaz energetické náročnosti budovy,Bezbariérový,Vybavení,Výtah,companyName,proximityIndex,Index,Lodžie,Odpad,Telekomunikace,Plocha podlahová,Terasa,Garáž,Rok kolaudace,Poznámka k ceně,Parkování,Rok rekonstrukce,Balkón,Převod do OV,Plyn,Ukazatel energetické náročnosti budovy,Zlevněno,Původní cena,Náklady na bydlení,Plocha zahrady,Vyvolávací cena,Znalecký posudek,Minimální příhoz,Aukční jistina,ID,Druh dražby,Místo konání dražby,Datum konání dražby,Dražební vyhláška,Posudek znalce,Cena,Výška stropu,Datum ukončení výstavby,Datum zahájení prodeje,Typ bytu,Stav,Anuita
137,"Jana a Jos. Kovářů, Ústí nad Orlicí",6 338 000 Kč za nemovitost,1072,Včera,Cihlová,Velmi dobrý,Osobní,,2. podlaží z celkem 3,93 m2,,01.04.2023,,,,,,Třída C - Úsporná,,,,1,Homeland.cz,653.2941176470588,141,,,,97 m2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Praha 5 - Smíchov,16 490 000 Kč za nemovitost,848,Včera,Cihlová,Velmi dobrý,Osobní,,1. podlaží z celkem 8,119 m2,1,Ihned,,,,,,Třída C - Úsporná,,,,1,Homeland.cz,590.047619047619,142,,,,,37 m2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"Deštné v Orlických horách, okres Rychnov nad Kněžnou",7 050 000 Kč za nemovitost,00954,Včera,Cihlová,Novostavba,Osobní,,2. podlaží,53 m2,,,,Ústřední elektrické,,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,,,TL Real,996.5833333333334,143,,,,,23 m2,,,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",1,,,,,"75,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
140,"Zárybská, Praha 9 - Prosek",6 900 000 Kč za nemovitost,01050,Včera,Panelová,Velmi dobrý,Družstevní,Klidná část obce,1. podlaží z celkem 7,68 m2,5 m2,,,Ústřední plynové,230V,"MHD, Autobus",,Třída G - Mimořádně nehospodárná,,,Částečně,1,TL Real,708.6190476190476,144,,,"Internet, Kabelové rozvody",,,,,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",,,,Ano,Plynovod,,,,5000,,,,,,,,,,,,,,,,,,
141,"Křižíkova, Praha 8 - Karlín",5 800 000 Kč za nemovitost,01212,Včera,Cihlová,Velmi dobrý,Osobní,,6. podlaží,36 m2,,,,,,,,Třída G - Mimořádně nehospodárná,,,,,TL Real,435.25,145,,,,,3 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"Křižíkova, Praha 8 - Karlín",6 500 000 Kč za nemovitost,01217,Včera,Cihlová,Velmi dobrý,Osobní,,4. podlaží,37 m2,,,,,,,,Třída G - Mimořádně nehospodárná,,,,,TL Real,432.85,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"Křižíkova, Brno - Královo Pole",6 550 000 Kč za nemovitost,14421637,Včera,Cihlová,Novostavba,Osobní,,3. podlaží,57 m2,,,,,,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,Částečně,1,4fin Reality Better together Brno - Heršpická,601.55,147,,,,49 m2,,,,"včetně provize, včetně právního servisu",,,,,,"54,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
144,"Křižíkova, Praha - Praha 8",,01211,Včera,Cihlová,Velmi dobrý,Osobní,,2. podlaží z celkem 3,38 m2,,,,,,,,Třída G - Mimořádně nehospodárná,,,Částečně,0,TL Real,439.65,148,,,,,,,,,,,,,,,5 800 000 Kč za nemovitost,6 099 000 Kč,,,,,,,,,,,,,,,,,,,
145,"Zelnice II., Slavkov u Brna",7 500 000 Kč za nemovitost (k jednání),14421337,Včera,Cihlová,Novostavba,Osobní,Klidná část obce,2. podlaží,73 m2,1,,,,,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,Částečně,1,4fin Reality Better together Brno - Heršpická,560.5,149,,,,,,,2019,"včetně provize, včetně právního servisu, cena k jednání",1,,1,,,"93,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
146,"Nádražní, Praha - Praha 5",8 656 054 Kč za nemovitost,LIHVR-221,Včera,Smíšená,Ve výstavbě,Osobní,,2. podlaží,46 m2,,,,,,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,,1,Trigema a.s.,1045.1904761904761,150,,,,49 m2,,,2023,,,,1,,,"67,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
147,"Vodní, Brno - Staré Brno",,14421361,Včera,Cihlová,Velmi dobrý,Osobní,,4. podlaží z celkem 7 včetně 1 podzemního,60 m2,,,,,,,,Třída G - Mimořádně nehospodárná,,,1,1,4fin Reality Better together Brno - Heršpická,442.75,151,,,,,,,,,,,1,,,,6 690 000 Kč za nemovitost,7 300 000 Kč,,,,,,,,,,,,,,,,,,,
148,"Větrná, České Budějovice - České Budějovice 2",3 090 000 Kč za nemovitost,0085-NP09298,Včera,Panelová,Dobrý,Družstevní,Sídliště,9. podlaží z celkem 9,62 m2,1 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,,0,1,RE/MAX G8 Reality,621.2222222222222,152,,Veřejná kanalizace,,64 m2,,,,,,,2 m2,Ne,Plynovod,,,,fond oprav cca 650 Kč,,,,,,,,,,,,,,,,,,
149,"Antonína Dvořáka, Most",5 200 000 Kč za nemovitost,,Dnes,Cihlová,Velmi dobrý,Osobní,Centrum obce,3. podlaží z celkem 3,109 m2,14 m2,,Dálkový vodovod,Ústřední dálkové,230V,,,Třída D - Méně úsporná,,,,0,Matoušek reality,507.1111111111111,153,,Veřejná kanalizace,,109 m2,,18,,,,,3 m2,,,,,,,,,,,,2956207948,,,,,,,,,Včera,,,
150,Břeclav,,SKM22006,Včera,Cihlová,Velmi dobrý,Osobní,Klidná část obce,2. podlaží z celkem 2 včetně 1 podzemního,90 m2,22 m2,,Dálkový vodovod,Ústřední plynové,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,0,,0,Soňa Kloser Mančíková reality s.r.o.,653.2222222222222,154,,Veřejná kanalizace,,,,1,,informace o ceně v RK,,,3 m2,,Plynovod,,,,,,,,,,,,,,,,Informace o ceně na dotaz,,,,,,
151,"Snědovice, okres Litoměřice",2 490 000 Kč za nemovitost (k jednání),14421854,Včera,Cihlová,Dobrý,Osobní,Centrum obce,2. podlaží z celkem 4 včetně 1 podzemního,57 m2,7 m2,,Dálkový vodovod,Ústřední tuhá paliva,230V,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,0,0,4fin Reality Better together Praha - Ke Štvanici,2725.3636363636365,155,,Veřejná kanalizace,"Telefon, Internet",,,,,"včetně provize, včetně právního servisu, cena k jednání",1,,,,,,,,"zálohy na služby (fond oprav, voda, společné prostory) 1.800 Kč + záloha na elektřinu (spotřebiče, bojler - ohřev vody)",,,,,,,,,,,,,"2,6 m",,,,,
