,location,Celková cena,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Umístění objektu,Podlaží,Užitná plocha,Sklep,Datum nastěhování,Voda,Topení,Elektřina,Doprava,Komunikace,Energetická náročnost budovy,Průkaz energetické náročnosti budovy,Bezbariérový,Vybavení,Výtah,companyName,proximityIndex,Index,Lodžie,Odpad,Telekomunikace,Plocha podlahová,Terasa,Garáž,Rok kolaudace,Poznámka k ceně,Parkování,Rok rekonstrukce,Balkón,Převod do OV,Plyn,Ukazatel energetické náročnosti budovy,Zlevněno,Původní cena,Náklady na bydlení,Plocha zahrady,Vyvolávací cena,Znalecký posudek,Minimální příhoz,Aukční jistina,ID,Druh dražby,Místo konání dražby,Datum konání dražby,Dražební vyhláška,Posudek znalce,Cena,Výška stropu,Datum ukončení výstavby,Datum zahájení prodeje,Typ bytu,Stav,Anuita
23,"Žiželická, Praha 9 - Újezd nad Lesy",,2207,Včera,Panelová,Velmi dobrý,Osobní,,2. podlaží z celkem 5,68 m2,,,Dálkový vodovod,Lokální plynové,230V,"Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída D - Méně úsporná,,,0,0,BIFIN reality,941.625,23,1,Veřejná kanalizace,"Telefon, Internet",68 m2,,,,vč. provize RK a právního servisu,,,,,Plynovod,,5 999 000 Kč za nemovitost,6 300 000 Kč,,,,,,,,,,,,,,,,,,,
24,"Ladova, Benešov",4 300 000 Kč za nemovitost,44825,Včera,Cihlová,Dobrý,Osobní,,3. podlaží z celkem 3 včetně 1 podzemního,64 m2,4 m2,Ihned,,,,,,Třída G - Mimořádně nehospodárná,,,,0,"Broker Consulting, a.s.",353.47058823529414,24,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Sportovní, Praha 10 - Vršovice",5 700 000 Kč za nemovitost,000086,Včera,Cihlová,Dobrý,Osobní,,1. podlaží z celkem 7 včetně 1 podzemního,48 m2,,Ihned,Dálkový vodovod,Lokální plynové,400V,"Silnice, MHD, Autobus",Asfaltová,Třída D - Méně úsporná č. 264/2020 Sb. podle vyhlášky,,,0,1,Martina MERESOVÁ - realitní makléřka,691.047619047619,25,,,Internet,48 m2,,,,,,,,,Plynovod,"174,0 kWh/m^2 za rok",,,,100 m2,,,,,,,,,,,,"3,5 m",,,,,
26,"Havanská, Kladno - Kročehlavy",4 490 000 Kč za nemovitost,14721088,Včera,Panelová,Po rekonstrukci,Osobní,,1. podlaží,55 m2,,,,,,,,Třída G - Mimořádně nehospodárná,,,Částečně,,CENTURY 21 FairTrade,703.6111111111111,26,,,,,,,,Včetně realitního i právního servisu,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Slavíkova, Praha 2",12 500 000 Kč za nemovitost,008023,Včera,Cihlová,Velmi dobrý,Osobní,,7. podlaží,111 m2,,,,,,,,,,,0,1,HX reality s.r.o.,354.8,27,,,"Telefon, Internet, Kabelová televize",111 m2,,,,uvedená cena je včetně provize a právního i případně hypotečního servisu,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Norberta Frýda, Ostrava - Dubina",,N2214907,Včera,Panelová,Velmi dobrý,Družstevní,,4. podlaží,44 m2,1,,Dálkový vodovod,Ústřední dálkové,230V,,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,,Částečně,1,HVB Real Estate,943.95,28,,,Kabelová televize,44 m2,,,,"Info v RK (Včetně advokátní úschovy, právního servisu a provize. Financování pomůžeme vyřídit.)",,,,Ano,Plynovod,,,,,,,,,,,,,,,,Informace o ceně na dotaz (k jednání),,,,,,
29,"Jilemnického, Pardubice - Zelené Předměstí",3 790 000 Kč za nemovitost,0326-NP00004,Včera,Cihlová,Po rekonstrukci,Osobní,Klidná část obce,4. podlaží z celkem 5,83 m2,,,,,,,,Třída D - Méně úsporná č. 148/2007 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,1,1,RE/MAX Excellent,502.5,29,,Veřejná kanalizace,,40 m2,,,,"AKČNÍ CENA !!! Tato cena je pevná, snížena pouze dokonce měsíce října.",,,,,Plynovod,,,,2 800,,,,,,,,,,,,,,,,,,
30,"Čs. armády, Pardubice - Zelené Předměstí",,0326-NP00008,Včera,Cihlová,Po rekonstrukci,Osobní,Klidná část obce,1. podlaží z celkem 6,62 m2,,Ihned,,,,,,Třída D - Méně úsporná č. 264/2020 Sb. podle vyhlášky,,,Částečně,1,RE/MAX Excellent,508.1111111111111,30,,Veřejná kanalizace,,62 m2,,,,cena u makléře,,,,,Plynovod,,,,,,,,,,,,,,,,Informace o ceně na dotaz,,,,,,
31,"Pražská, Rynholec",2 350 000 Kč za nemovitost,0287-NP00442,Včera,Smíšená,Před rekonstrukcí,Osobní,Centrum obce,2. podlaží z celkem 2,85 m2,,,,,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,,0,,RE/MAX 4 You III,1376.8,32,,Veřejná kanalizace,,77 m2,,,,Uvedená cena je vč. provize RK,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
32,"Poděbradova, Kladno",,0287-NP00433,Včera,Panelová,Velmi dobrý,Osobní,Centrum obce,5. podlaží z celkem 8,70 m2,,,,,,,,Třída C - Úsporná č. 148/2007 Sb. podle vyhlášky,,,0,1,RE/MAX 4 You III,525.3157894736842,33,,Veřejná kanalizace,,70 m2,,,1987,"Majitel si vyhrazuje právo vybrat zájemce dle jeho kritérií, uvedená cena je včetně provize RK",,,,,,,4 440 000 Kč za nemovitost,4 650 000 Kč,,,,,,,,,,,,,,,,,,,
33,"Hudcova, Brno - Medlánky",,PR304-48,Včera,Cihlová,Po rekonstrukci,Osobní,,3. podlaží z celkem 5 včetně 1 podzemního,53 m2,,,Dálkový vodovod,Ústřední dálkové,230V,"Silnice, MHD",Asfaltová,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,0,1,SOVA reality,776.85,34,,Veřejná kanalizace,"Internet, Kabelové rozvody",,,,,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",,2022,,,,"379,0 kWh/m^2 za rok",5 300 000 Kč za nemovitost,5 500 000 Kč,3500 Kč,,,,,,,,,,,,,,,,,,
34,"Hudcova, Brno - Medlánky",2 990 000 Kč za nemovitost,PR313-57,Včera,Cihlová,Po rekonstrukci,Osobní,,3. podlaží z celkem 5 včetně 1 podzemního,24 m2,,,Dálkový vodovod,Ústřední dálkové,230V,"Silnice, MHD",Asfaltová,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,0,1,SOVA reality,776.85,35,,Veřejná kanalizace,"Internet, Kabelové rozvody",,,,,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",,2022,,,,"379,0 kWh/m^2 za rok",,,3000 Kč,,,,,,,,,,,,,,,,,,
35,"Hudcova, Brno - Medlánky",2 830 000 Kč za nemovitost,PR316-60,Včera,Cihlová,Po rekonstrukci,Osobní,,3. podlaží z celkem 5 včetně 1 podzemního,22 m2,,,Dálkový vodovod,Ústřední dálkové,230V,"Silnice, MHD",Asfaltová,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,0,1,SOVA reality,776.85,36,,Veřejná kanalizace,"Internet, Kabelové rozvody",,,,,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",,2022,,,,"379,0 kWh/m^2 za rok",,,3000 Kč,,,,,,,,,,,,,,,,,,
36,"Františka Diviše, Praha 10 - Uhříněves",4 900 000 Kč za nemovitost,N11436,Včera,Cihlová,Novostavba,Osobní,,1. podlaží z celkem 5,39 m2,2 m2,Ihned,,,,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,,1,SPS správa nemovitostí,1535.1904761904761,37,,,,39 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Petržílkova, Praha 5 - Stodůlky",9 990 000 Kč za nemovitost,N11440,Včera,Cihlová,Novostavba,Osobní,,4. podlaží z celkem 5,86 m2,,Ihned,,,,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,,1,SPS správa nemovitostí,520.8095238095239,38,1,,,86 m2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Nad Lomnicí, Blatná",4 800 000 Kč za nemovitost,43531,Včera,Cihlová,Dobrý,Osobní,,4. podlaží z celkem 5 včetně 1 podzemního,150 m2,3 m2,Ihned,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,0,Částečně,0,"Broker Consulting, a.s.",448.875,39,10 m2,Veřejná kanalizace,"Telefon, Internet, Kabelová televize",,,,,,1,,,,Plynovod,,,,5000,,,,,,,,,,,,,,,,,,
39,"Palackého třída, Brno - Královo Pole",6 900 000 Kč za nemovitost,01173,Včera,Cihlová,Velmi dobrý,Osobní,,2. podlaží,92 m2,3 m2,,,,,,,Třída G - Mimořádně nehospodárná,,,,,RENČ - realitní kancelář,499.6,40,,,,,17 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Bořivojova, Praha 3 - Žižkov",9 490 000 Kč za nemovitost,LK145012,Včera,Cihlová,Velmi dobrý,Osobní,Klidná část obce,3. podlaží z celkem 6,66 m2,,,Dálkový vodovod,,"230V, 400V",,,,,,,1,Duna House,350.4,41,,Veřejná kanalizace,,66 m2,,,1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"bratří Dohalských, Praha 9 - Vysočany",5 500 000 Kč za nemovitost,LK144463,Včera,Smíšená,Velmi dobrý,Osobní,Klidná část obce,6. podlaží z celkem 6,37 m2,,,Dálkový vodovod,,"230V, 400V",,,,,,,1,Duna House,504.0,42,,Veřejná kanalizace,,37 m2,,,2009,,,,7 m2,,,,,,,,,,,,,,,,,,,,,,,,
42,"Švábenicova, Trutnov - Horní Předměstí",2 490 000 Kč za nemovitost,22059CZK,Včera,Cihlová,Dobrý,Osobní,,5. podlaží z celkem 6 včetně 1 podzemního,59 m2,6 m2,,Dálkový vodovod,Ústřední plynové,230V,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída E - Nehospodárná č. 78/2013 Sb. podle vyhlášky,,,,0,EVOLUCE reality,519.1875,43,,,,49 m2,,,,Cena včetně provize RK a právních služeb.,,,,,Plynovod,,,,,332 m2,,,,,,,,,,,,,,,,,
43,"Malkovského, Praha 9 - Letňany",8 490 000 Kč za nemovitost,LK142696,Včera,Cihlová,Velmi dobrý,Osobní,Centrum obce,7. podlaží z celkem 7,99 m2,,,Dálkový vodovod,,"230V, 400V",,,Třída C - Úsporná,,,,1,Duna House,830.4,44,,Veřejná kanalizace,,99 m2,17 m2,,2004,celková cena 8.800.000 Kč,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Habrmannovo náměstí, Plzeň - Doubravka",3 100 000 Kč za nemovitost,41643,Včera,Cihlová,Velmi dobrý,Osobní,,1. podlaží z celkem 2,31 m2,5 m2,Ihned,Dálkový vodovod,Lokální plynové,,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,1,0,"Broker Consulting, a.s.",713.2631578947369,45,,Veřejná kanalizace,"Internet, Satelit, Kabelová televize, Kabelové rozvody",,,,1934,,,2019,,,,,,,3465,,,,,,,,,,,,,,,,,,
45,"Dr. Bureše, České Budějovice - České Budějovice 2",4 150 000 Kč za nemovitost,42624,Včera,Panelová,Dobrý,Osobní,,3. podlaží,78 m2,1,Ihned,,Ústřední elektrické,,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,Částečně,,"Broker Consulting, a.s.",621.8333333333334,46,,,"Telefon, Internet, Satelit, Kabelová televize",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
46,"náměstí Generála Píky, Plzeň - Východní Předměstí",3 500 000 Kč za nemovitost,42410,Včera,Panelová,Dobrý,Osobní,,9. podlaží,52 m2,1,Ihned,Dálkový vodovod,Ústřední dálkové,,"Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,1,Částečně,1,"Broker Consulting, a.s.",410.2105263157895,47,,,,,,,,,,,1,,,,,,1000,,,,,,,,,,,,,,,,,,
47,"Nad Cihelnou, Velešín",,41997,Včera,Panelová,Dobrý,Osobní,,4. podlaží,67 m2,1,Ihned,Dálkový vodovod,Ústřední dálkové,,"MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,0,0,1,"Broker Consulting, a.s.",570.5714285714286,48,,Veřejná kanalizace,Internet,,,,1993,,,2006,1,,Plynovod,,3 300 000 Kč za nemovitost,3 500 000 Kč,5400,,,,,,,,,,,,,,,,,,
48,"Zámecký vrch, Karlovy Vary",7 900 000 Kč za nemovitost (k jednání),,Včera,Cihlová,Velmi dobrý,Osobní,,5. podlaží,133 m2,,,Dálkový vodovod,Ústřední dálkové,230V,,,Třída D - Méně úsporná,,,Částečně,1,AMGUEMA,582.7894736842105,50,,Veřejná kanalizace,,,1,,,,1,,,,Plynovod,,,,,,,,,,4040017484,,,,,,,,,,,,
49,"tř. Václava Klementa, Mladá Boleslav - Mladá Boleslav II",3 200 000 Kč za nemovitost,0088-NP03769,Včera,Panelová,Velmi dobrý,Osobní,Centrum obce,1. podlaží z celkem 12,44 m2,1 m2,Ihned,Dálkový vodovod,,230V,"Vlak, Dálnice, Silnice, MHD",,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,0,1,RE/MAX Profit,658.2105263157895,51,3 m2,Veřejná kanalizace,,41 m2,,,,"Původní cena 3 490 000,- Kč",,,,,,"122,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
50,"U Věžových domů, Most",,0311,Včera,Panelová,Velmi dobrý,Osobní,Centrum obce,9. podlaží z celkem 15,62 m2,,,"Místní zdroj, Dálkový vodovod",Ústřední dálkové,230V,"Silnice, MHD","Betonová, Asfaltová",Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,,0,1,H2 Reality+,357.0,52,1,Veřejná kanalizace,"Internet, Satelit, Kabelová televize, Kabelové rozvody",62 m2,,,,včetně provize a právního servisu,,,,,Plynovod,,1 390 000 Kč za nemovitost,1 490 000 Kč,,,,,,,,,,,,,,,,,,,
51,"Alšova, Bílina - Pražské Předměstí",,0094-NP04821,Včera,Panelová,Dobrý,Osobní,Klidná část obce,2. podlaží z celkem 5,53 m2,,,,,,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,,0,,RE/MAX Synergy,801.8333333333334,53,,Veřejná kanalizace,,53 m2,,,,Včetně právního a realitního servisu,,,,,Plynovod,,1 260 000 Kč za nemovitost,1 390 000 Kč,,,,,,,,,,,,,,,,,,,
52,"Kurandové, Praha 5 - Hlubočepy",9 120 000 Kč za nemovitost,J23,Včera,Skeletová,Novostavba,Osobní,,2. podlaží z celkem 5,65 m2,,30.11.2022,Dálkový vodovod,Ústřední dálkové,,,,,,1,,1,Barrandez-vous,996.8571428571429,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11.2021,08.06.2020,,,
53,"Kurandové, Praha - Hlubočepy",9 790 000 Kč za nemovitost,J14,Včera,Skeletová,Novostavba,Osobní,,2. podlaží z celkem 5,66 m2,1,30.11.2022,Dálkový vodovod,Ústřední dálkové,,,,,,,,1,Barrandez-vous,996.8571428571429,55,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,30.11.2022,08.06.2020,,,
54,"Kaštanová, Holubice - Kozinec",4 890 000 Kč za nemovitost,101319,Včera,Cihlová,Velmi dobrý,Osobní,Klidná část obce,2. podlaží z celkem 3,49 m2,,,,Ústřední elektrické,230V,,,Třída C - Úsporná,,,Částečně,0,Stars reality,1921.2666666666667,56,,Veřejná kanalizace,Internet,,1,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Kurandové, Praha 5 - Hlubočepy",12 990 000 Kč za nemovitost,J05,Včera,Skeletová,Novostavba,Osobní,,1. podlaží z celkem 5,85 m2,1,30.11.2022,Dálkový vodovod,Ústřední dálkové,,"Silnice, MHD",,,,,,,Barrandez-vous,996.8571428571429,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11.2022,08.06.2020,,,
56,"Kurandové, Praha 5 - Hlubočepy",12 790 000 Kč za nemovitost,J07,Včera,Skeletová,Novostavba,Osobní,,1. podlaží z celkem 5 včetně 1 podzemního,85 m2,1,30.11.2022,Dálkový vodovod,Ústřední dálkové,,,,,,,,,Barrandez-vous,996.8571428571429,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11.2022,08.06.2020,,,
57,"Kurandové, Praha 5 - Hlubočepy",13 190 000 Kč za nemovitost,J02,Včera,Skeletová,Novostavba,Osobní,,1. podlaží z celkem 5,86 m2,1,30.11.2022,Dálkový vodovod,Ústřední dálkové,,,,,,,,,Barrandez-vous,996.8571428571429,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11.2022,08.06.2020,,,
58,"Kurandové, Praha 5 - Hlubočepy",12 890 000 Kč za nemovitost,J10,Včera,Skeletová,Novostavba,Osobní,,1. podlaží z celkem 5 včetně 1 podzemního,86 m2,1,30.11.2022,Dálkový vodovod,Ústřední dálkové,,,,,,,,1,Barrandez-vous,996.8571428571429,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11.2021,08.06.2020,,,
59,"Křičkova, Hodonín",2 990 000 Kč za nemovitost,,Včera,Cihlová,Velmi dobrý,Osobní,Sídliště,3. podlaží z celkem 3,68 m2,8 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Silnice, MHD, Autobus",Betonová,Třída G - Mimořádně nehospodárná,,0,,0,Realitní kancelář Kominíček,546.1176470588235,61,,,"Internet, Kabelová televize, Kabelové rozvody",,,,,Uvedená cena je včetně provize a právních služeb. Úschova kupní ceny je zajištěna v advokátní kanceláři.,10,,,,Plynovod,,,,,,,,,,2398607180,,,,,,,,,,,,
60,"Zdeňka Fibicha, Most",1 500 000 Kč za nemovitost,2760,Včera,Panelová,Dobrý,Osobní,,3. podlaží z celkem 4,53 m2,,Ihned,,,,,,,,0,,,Bydlete s námi s.r.o.,405.6111111111111,62,,,,53 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Kurandové, Praha 5 - Hlubočepy",13 750 000 Kč za nemovitost,S12,Včera,Skeletová,Novostavba,Osobní,,1. podlaží z celkem 5 včetně 1 podzemního,87 m2,1,30.11.2022,Dálkový vodovod,Ústřední dálkové,,,,,,1,,1,Barrandez-vous,996.8571428571429,63,5 m2,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,30.11.2022,08.06.2020,,,
62,"Kurandové, Praha - Hlubočepy",13 750 000 Kč za nemovitost,S36,Včera,Skeletová,Novostavba,Osobní,,2. podlaží z celkem 5 včetně 1 podzemního,85 m2,1,30.11.2022,Dálkový vodovod,Ústřední dálkové,,"Silnice, MHD, Autobus",,,,1,,1,Barrandez-vous,996.8571428571429,64,5 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11.2022,08.06.2020,,,
63,"Kurandové, Praha 5 - Hlubočepy",9 350 000 Kč za nemovitost,J44,Včera,Skeletová,Novostavba,Osobní,,3. podlaží z celkem 5,65 m2,1,30.11.2022,Dálkový vodovod,Ústřední dálkové,,,,,,,,1,Barrandez-vous,996.8571428571429,65,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,30.11.2021,08.06.2020,,,
64,"Kurandové, Praha 5 - Hlubočepy",9 850 000 Kč za nemovitost,J35,Včera,Skeletová,Novostavba,Osobní,,3. podlaží z celkem 5,65 m2,1,30.11.2022,Dálkový vodovod,Ústřední dálkové,,,,,,1,,1,Barrandez-vous,996.8571428571429,66,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,30.11.2022,08.06.2020,,,
65,"Jažlovická, Praha 4 - Chodov",7 690 000 Kč za nemovitost,464,Včera,Panelová,Dobrý,Osobní,Klidná část obce,2. podlaží z celkem 4,82 m2,4 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Silnice, MHD",Asfaltová,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,,,0,0,RK Mandík - Realitní kancelář,925.0,67,5 m2,Veřejná kanalizace,"Internet, Kabelová televize",73 m2,,1,,Uvedená cena je konečná a to včetně právního servisu. Nejsme příznivci aukcí ani zvedání ceny během prodeje.,,,,,Plynovod,"205,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
66,"Čajkovského, Praha 3 - Žižkov",5 350 000 Kč za nemovitost,2878,Včera,Cihlová,Po rekonstrukci,Osobní,Klidná část obce,4. podlaží z celkem 6,31 m2,3 m2,,,Ústřední plynové,230V,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,0,1,1,JK TOP Reality CZ s.r.o.,395.6,68,,Veřejná kanalizace,,34 m2,,,,+ RK servis,,2022,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
67,"Podolská, Praha 4 - Podolí",6 300 000 Kč za nemovitost,2879,Včera,Cihlová,Po rekonstrukci,Osobní,Klidná část obce,4. podlaží z celkem 6,41 m2,3 m2,Ihned,,Ústřední dálkové,230V,"Vlak, Dálnice, Silnice, MHD",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,0,1,1,JK TOP Reality CZ s.r.o.,890.7142857142857,69,,Veřejná kanalizace,,39 m2,,,,+ RK,,2021,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
68,"Obvodová, Ústí nad Labem - Krásné Březno",2 500 000 Kč za nemovitost,2022/3014,Včera,Panelová,Velmi dobrý,Osobní,Klidná část obce,6. podlaží z celkem 7 včetně 1 podzemního,98 m2,6 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Silnice, MHD",Asfaltová,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,,1,Částečně,1,Jan Hrstka Reality jinak,1325.5555555555557,70,,Veřejná kanalizace,Internet,88 m2,11 m2,,,včetně advokátních služeb a platby návrhu na vklad kupní smlouvy,,2022,,,Plynovod,"353,0 kWh/m^2 za rok",,,7029 Kč,,,,,,,,,,,,,,,,,,
69,"Nádražní, Rakovník - Rakovník II",2 800 000 Kč za nemovitost (k jednání),,Včera,Cihlová,Dobrý,Osobní,Centrum obce,2. podlaží z celkem 4,65 m2,3 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Dálnice, Silnice, MHD, Autobus","Dlážděná, Asfaltová",Třída E - Nehospodárná,,,Částečně,0,Petr Benes & Partners s.r.o.,292.11764705882354,71,,Veřejná kanalizace,,,,,,,,,,,Plynovod,,,,,,,,,,739518284,,,,,,,,,,,,
70,"Strančická, Praha 10 - Strašnice",3 790 000 Kč za nemovitost,N00117,Včera,Cihlová,Velmi dobrý,Osobní,,2. podlaží z celkem 2,25 m2,,,,,,,,Třída B - Velmi úsporná,,,,,stavba&design,711.9047619047619,72,,,Internet,25 m2,,,,,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
71,"Pernerova, Praha 8 - Karlín",,1,Včera,Cihlová,Ve výstavbě,Osobní,,7. podlaží,123 m2,1,,,,,,,,,,0,1,Praha Půdní Byty.cz,438.0,73,,,,123 m2,10 m2,,,Cena na vyžádání,,,,,,,,,,,,,,,,,,,,,Informace o ceně na dotaz,,,,Mezonet,,
72,"Pernerova, Praha 8 - Karlín",,4,Včera,Cihlová,Ve výstavbě,Osobní,,7. podlaží,155 m2,1,,,,,,,,,,0,1,Praha Půdní Byty.cz,438.0,74,,,,155 m2,11 m2,,,Cena na vyžádání,,,,,,,,,,,,,,,,,,,,,Informace o ceně na dotaz,,,,Mezonet,,
73,"Lidická, Mnichovo Hradiště",2 850 000 Kč za nemovitost,00015,Včera,Panelová,Dobrý,Osobní,Klidná část obce,5. podlaží,39 m2,1,,Dálkový vodovod,Ústřední plynové,230V,"Vlak, Dálnice, Silnice, Autobus",Asfaltová,Třída E - Nehospodárná č. 78/2013 Sb. podle vyhlášky,,,Částečně,,Nisa centrum reality,385.5625,75,,Veřejná kanalizace,"Telefon, Internet, Kabelová televize, Kabelové rozvody",,,,,,,,,,Plynovod,"200,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
74,"Za Tratí, Liberec - Liberec XXX-Vratislavice nad Nisou",4 290 000 Kč za nemovitost,00013,Včera,Panelová,Dobrý,Osobní,Klidná část obce,3. podlaží,75 m2,,,Studna,Ústřední tuhá paliva,230V,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,Částečně,,Nisa centrum reality,1962.6315789473683,76,,Septik,"Internet, Satelit",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
75,"U Hranic, Praha 10 - Strašnice",6 900 000 Kč za nemovitost,0098-NP02897,Včera,Smíšená,Před rekonstrukcí,Osobní,Centrum obce,6. podlaží z celkem 6,62 m2,,,,,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,,Částečně,1,RE/MAX G8 Reality,776.7142857142857,77,,Veřejná kanalizace,,62 m2,,,,,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
76,"Máchova, Bělá pod Bezdězem",3 266 980 Kč za nemovitost,00014,Včera,Panelová,Dobrý,Osobní,Centrum obce,3. podlaží,70 m2,1,,Dálkový vodovod,Ústřední tuhá paliva,230V,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,Částečně,,Nisa centrum reality,669.0769230769231,78,,Veřejná kanalizace,"Telefon, Internet, Kabelová televize",,,,,,1,,5 m2,,,,,,,,,,,,,,,,,,,,,,,,
77,"Nad přívozem, Praha 4 - Braník",11 899 000 Kč za nemovitost,00011,Včera,Cihlová,Po rekonstrukci,Osobní,Klidná část obce,2. podlaží,91 m2,1,,Dálkový vodovod,Ústřední plynové,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,Částečně,1,Nisa centrum reality,977.5238095238095,79,14 m2,Veřejná kanalizace,"Telefon, Internet, Kabelová televize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"U Stadiónu, Ústí nad Labem - Klíše",,42550,Včera,Cihlová,Dobrý,Osobní,,6. podlaží z celkem 6 včetně 1 podzemního,41 m2,4 m2,Ihned,Dálkový vodovod,Ústřední dálkové,230V,"Silnice, MHD",Asfaltová,Třída E - Nehospodárná,Zobrazit průkaz energetické náročnosti budovy,0,Částečně,0,"Broker Consulting, a.s.",661.1666666666666,81,,Veřejná kanalizace,"Telefon, Internet, Satelit",,12 m2,,,,,,,,Plynovod,,1 799 000 Kč za nemovitost,1 999 000 Kč,2562,,,,,,,,,,,,,,,,,,
79,"Jičínská, Mladá Boleslav - Mladá Boleslav III",4 290 000 Kč za nemovitost,42559,Včera,Panelová,Velmi dobrý,Osobní,,6. podlaží z celkem 6 včetně 1 podzemního,62 m2,2 m2,Ihned,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",,Třída G - Mimořádně nehospodárná,,,Částečně,1,"Broker Consulting, a.s.",674.1578947368421,82,,Veřejná kanalizace,"Telefon, Internet",,,,,,,,1 m2,,Plynovod,,,,2750,,,,,,,,,,,,,,,,,,
