,link,location,Celková cena,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Umístění objektu,Podlaží,Užitná plocha,Sklep,Datum nastěhování,Voda,Topení,Elektřina,Doprava,Komunikace,Energetická náročnost budovy,Průkaz energetické náročnosti budovy,Bezbariérový,Vybavení,Výtah,companyName,proximityIndex,Index,Lodžie,Odpad,Telekomunikace,Plocha podlahová,Terasa,Garáž,Rok kolaudace,Poznámka k ceně,Parkování,Rok rekonstrukce,Balkón,Převod do OV,Plyn,Ukazatel energetické náročnosti budovy,Zlevněno,Původní cena,Náklady na bydlení,Plocha zahrady,Vyvolávací cena,Znalecký posudek,Minimální příhoz,Aukční jistina,ID,Druh dražby,Místo konání dražby,Datum konání dražby,Dražební vyhláška,Posudek znalce,Cena,Výška stropu,Datum ukončení výstavby,Datum zahájení prodeje,Typ bytu,Stav,Anuita,Plocha zastavěná,Počet bytů,Půdní vestavba,Datum prohlídky,Bazén,Minimální kupní cena,Termín 1. prohlídky,Termín 2. prohlídky,Datum prohlídky do
1870,"https://www.sreality.cz/detail/prodej/byt/3+kk/praha-karlin-rohanske-nabrezi/3780847180
","Rohanské nábřeží, Praha - Karlín",16 800 000 Kč za nemovitost,Y&T-3WHMH,Včera,Cihlová,Novostavba,Osobní,,7. podlaží,95 m2,3 m2,,,,,,,,,,,1,Y&T Luxury Property – luxusní byty Praha,505.85,1919,,,,95 m2,,1,,,,,5 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,"https://www.sreality.cz/detail/prodej/byt/4+1/praha-mala-strana-/3988821580
",Praha 1 - Malá Strana,,Y&T-5WAR,Včera,Smíšená,Po rekonstrukci,Osobní,,6. podlaží,226 m2,1,,,,,,,Třída G - Mimořádně nehospodárná,,,,,Y&T Luxury Property – luxusní byty Praha,430.5,1920,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,Informace o ceně na dotaz,,,,,,,,,,,,,,,
1872,"https://www.sreality.cz/detail/prodej/byt/1+kk/trinec-lyzbice-lidicka/293791308
","Lidická, Třinec - Lyžbice",699 000 Kč za nemovitost,,Včera,Panelová,Velmi dobrý,Družstevní,Centrum obce,2. podlaží,20 m2,1,,Dálkový vodovod,Ústřední dálkové,,,,,,1,,1,REALITNÍ KRÁL,269.25,1921,1,,,,,,,SLEVA,,,,Ne,,,,,,,,,,,293791308,,,,,,,,,,,,,,,,,,,,,
1873,"https://www.sreality.cz/detail/prodej/byt/2+kk/praha--/2685906524
",Praha,,,Včera,Skeletová,Po rekonstrukci,Osobní,,6. podlaží,94 m2,1,,,,,,,Třída G - Mimořádně nehospodárná,,,,1,Y&T Luxury Property – luxusní byty Praha,345.0,1922,,,,64 m2,30 m2,1,,,1,,1,,,,,,,,,,,,2685906524,,,,,,Informace o ceně na dotaz,,,,Loft,,,,,,,1,,,,
1874,"https://www.sreality.cz/detail/prodej/byt/3+1/olomouc-povel-luzicka/2460038988
","Lužická, Olomouc - Povel",,22009,Včera,Panelová,Po rekonstrukci,Osobní,Klidná část obce,8. podlaží z celkem 9 včetně 1 podzemního,74 m2,3 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,Částečně,1,Hančl Reality,452.5263157894737,1923,3 m2,Veřejná kanalizace,"Internet, Kabelové rozvody, Ostatní",,,,,,,2022,,,,,,,"3.771,- Kč (pro tříčlennou rodinu)",,,,,,,,,,,,Informace o ceně na dotaz (k jednání),,,,,,,,,,,,,,,
1875,"https://www.sreality.cz/detail/prodej/byt/2+1/cesky-tesin-cesky-tesin-uvoz/2423645772
","Úvoz, Český Těšín",1 799 000 Kč za nemovitost,,Včera,Smíšená,Velmi dobrý,Družstevní,Klidná část obce,3. podlaží z celkem 4,69 m2,6 m2,,,,,,,,,0,,0,REALITNÍ KRÁL,540.8888888888889,1924,4 m2,,,,,,,SLEVA,,,,Ne,,,,,,,,,,,2423645772,,,,,,,,,,,,,,,,,,,,,
1876,"https://www.sreality.cz/detail/prodej/byt/3+1/mlada-boleslav-cejeticky-nadrazni/758888796
","Nádražní, Mladá Boleslav - Čejetičky",3 500 000 Kč za nemovitost,17,Včera,Cihlová,Dobrý,Osobní,,2. podlaží z celkem 3,65 m2,2 m2,Ihned,Dálkový vodovod,Ústřední plynové,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,0,,,Mgr. Barbora Bukovská,1239.4736842105262,1925,,Veřejná kanalizace,"Internet, Satelit",65 m2,,,,Cena včetně provize a právního servisu,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,"https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-svornosti/1242310476
","Svornosti, Praha 5 - Smíchov",10 500 000 Kč za nemovitost,HMA1562-0001,Včera,Cihlová,Velmi dobrý,Osobní,,4. podlaží z celkem 6,73 m2,5 m2,,,Ústřední plynové,,,,,,,1,1,FARAON reality,685.4761904761905,1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,"https://www.sreality.cz/detail/prodej/byt/2+kk/praha-karlin-nekvasilova/4220909388
","Nekvasilova, Praha 8 - Karlín",5 100 000 Kč za nemovitost,02369,Včera,Panelová,Dobrý,Osobní,,5. podlaží z celkem 8,50 m2,1,,Dálkový vodovod,,,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,1,1,Myšák reality,769.3333333333334,1927,1,,,50 m2,,,,Cena včetně provize RK,,,1,,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,"https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hloubetin-modreho/3137562188
","Modrého, Praha 9 - Hloubětín",10 750 000 Kč za nemovitost,02848,Včera,Cihlová,Novostavba,Osobní,,7. podlaží z celkem 7,85 m2,1,,Dálkový vodovod,,,MHD,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,,1,Myšák reality,969.0,1928,,,,85 m2,1,1,,cena vč. provize rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341 m2,,,,,,,,
