,link,location,district,HouseType,Celková cena,ID zakázky,Aktualizace,Stavba,Stav objektu,Poloha domu,Typ domu,Podlaží,Plocha zastavěná,Užitná plocha,Plocha podlahová,Plocha pozemku,Plocha zahrady,Sklep,Datum nastěhování,Voda,Topení,Plyn,Odpad,Doprava,Komunikace,Energetická náročnost budovy,Bezbariérový,Vybavení,companyName,proximityIndex,Index,Poznámka k ceně,Elektřina,Ukazatel energetické náročnosti budovy,Umístění objektu,Parkování,Garáž,Rok rekonstrukce,Výtah,Cena,Rok kolaudace,Telekomunikace,Průkaz energetické náročnosti budovy,Bazén,Počet bytů,ID,Náklady na bydlení,Zlevněno,Původní cena,Plocha bazénu,Výška stropu,Stav,Půdní vestavba,Vyvolávací cena,Znalecký posudek,Minimální příhoz,Aukční jistina,Druh dražby,Místo konání dražby,Datum konání dražby,Dražební vyhláška,Posudek znalce,Datum prohlídky,Datum zahájení prodeje,Minimální kupní cena,Termín 1. prohlídky,Termín 2. prohlídky,Datum ukončení výstavby,Datum prohlídky do
10,https://www.sreality.cz/detail/prodej/dum/rodinny/hranice-pastviny-/1625167436,"Hranice - Pastviny, okres Cheb",cheb,"rodinne-domy
",3 500 000 Kč za nemovitost,146,18.10.2022,Cihlová,Po rekonstrukci,Samostatný,Patrový,2,60 m2,80 m2,80 m2,3488 m2,3418 m2,,Ihned,Studna,Ústřední tuhá paliva,,Septik,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0,1,VOYTA Reality,2372.090909090909,10,,"230V, 400V",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,https://www.sreality.cz/detail/prodej/dum/rodinny/as-as-tyrsova/3758605900,"Tyršova, Aš",cheb,"rodinne-domy
",7 490 000 Kč za nemovitost,0251-NP00597,18.10.2022,Smíšená,Velmi dobrý,Samostatný,Patrový,3,117 m2,350 m2,,1084 m2,,,Ihned,,,Plynovod,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,RE/MAX Air,471.06666666666666,11,,,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,https://www.sreality.cz/detail/prodej/dum/rodinny/zadub-zavisin-zavisin-/890513228,"Zádub-Závišín - Závišín, okres Cheb",cheb,"rodinne-domy
",5 800 000 Kč za nemovitost,202201,18.10.2022,Cihlová,Po rekonstrukci,,Patrový,2,115 m2,149 m2,,561 m2,446 m2,,,Dálkový vodovod,"Ústřední elektrické, Podlahové",,ČOV pro celý objekt,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,0,Mobeka group,2631.8888888888887,12,,"120V, 400V",,Klidná část obce,4,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,https://www.sreality.cz/detail/prodej/dum/rodinny/as-as-elisky-krasnohorske/3579688780,"Elišky Krásnohorské, Aš",cheb,"rodinne-domy
",2 990 000 Kč za nemovitost,N96251,17.10.2022,Cihlová,Dobrý,Řadový,Patrový,3 včetně 1 podzemního,87 m2,150 m2,,249 m2,123 m2,50 m2,,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,0,0,NEXT REALITY CHEB,596.9333333333333,13,,400V,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,https://www.sreality.cz/detail/prodej/dum/rodinny/liba-liba-/1099376460,"Libá, okres Cheb",cheb,"rodinne-domy
",2 290 000 Kč za nemovitost,02-01044,21.10.2022,Cihlová,Před rekonstrukcí,Samostatný,Patrový,3 včetně 1 podzemního,599 m2,200 m2,,813 m2,,60 m2,,Dálkový vodovod,Lokální tuhá paliva,,Veřejná kanalizace,"Vlak, Autobus",,Třída G - Mimořádně nehospodárná,,1,Reality Smajlík s.r.o.,2276.3333333333335,14,,"230V, 400V",,Centrum obce,,1,,,,,Internet,,,3,,,,,,,,,,,,,,,,,,,,,,,,
15,https://www.sreality.cz/detail/prodej/dum/rodinny/marianske-lazne-usovice-na-pruhonu/3139893068,"Na Průhonu, Mariánské Lázně - Úšovice",cheb,"rodinne-domy
",6 990 000 Kč za nemovitost,191893,17.10.2022,Cihlová,Dobrý,Samostatný,Patrový,3 včetně 1 podzemního,426 m2,226 m2,226 m2,426 m2,,,,Dálkový vodovod,Lokální plynové,,,,Asfaltová,Třída G - Mimořádně nehospodárná,,1,Bidli,781.5,15,,400V,,Klidná část obce,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,https://www.sreality.cz/detail/prodej/dum/rodinny/tepla-babice-/1646324060,"Teplá - Babice, okres Cheb",cheb,"rodinne-domy
",3 850 000 Kč za nemovitost,29947,17.10.2022,Cihlová,Dobrý,Samostatný,Patrový,3,401 m2,134 m2,134 m2,1066 m2,,,,,Jiné,,,,,Třída G - Mimořádně nehospodárná,,,Mgr. Jolana Sittinger,4077.75,16,Cena včetně provize a právního servisu,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,https://www.sreality.cz/detail/prodej/dum/rodinny/tepla-babice-/2663590748,"Teplá - Babice, okres Cheb",cheb,"rodinne-domy
",24 000 000 Kč za nemovitost,29630,17.10.2022,Cihlová,Novostavba,Samostatný,Patrový,3,198 m2,623 m2,623 m2,7884 m2,,1,,,Jiné,,,,,Třída G - Mimořádně nehospodárná,,,Mgr. Jolana Sittinger,4025.5,17,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,https://www.sreality.cz/detail/prodej/dum/rodinny/mnichov-rajov-/248219996,"Mnichov - Rájov, okres Cheb",cheb,"rodinne-domy
",7 600 000 Kč za nemovitost,23851,16.10.2022,Cihlová,Novostavba,Samostatný,Patrový,2,108 m2,177 m2,177 m2,1586 m2,,,,,Jiné,,,,,Třída G - Mimořádně nehospodárná,,,Reality 11 slusnymakler.cz,4175.055555555556,18,cena včetně právního servisu a provize RK,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,https://www.sreality.cz/detail/prodej/dum/rodinny/frantiskovy-lazne-dolni-lomany-ceska/1972942412,"Česká, Františkovy Lázně - Dolní Lomany",cheb,"rodinne-domy
",4 399 000 Kč za nemovitost,802237,14.10.2022,Cihlová,Dobrý,V bloku,Patrový,3 včetně 1 podzemního,,157 m2,,388 m2,,,Ihned,Dálkový vodovod,Lokální plynové,,Veřejná kanalizace,"Vlak, Silnice, Autobus",,Třída E - Nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,693.7333333333333,19,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"120V, 230V","187,0 kWh/m^2 za rok",Klidná část obce,3,1,2012,0,,,Internet,,1,,,,,,,,,,,,,,,,,,,,,,,,,
20,https://www.sreality.cz/detail/prodej/dum/rodinny/lipova-lipova-/3641452364,"Lipová, okres Cheb",cheb,"rodinne-domy
",350 000 Kč za nemovitost,3342/3987,15.10.2022,Smíšená,Před rekonstrukcí,Samostatný,Patrový,2,294 m2,90 m2,90 m2,1301 m2,1007 m2,1,Ihned,Dálkový vodovod,Lokální tuhá paliva,,Veřejná kanalizace,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,0,,Nemovitosti SEVER s.r.o.,1028.625,20,Kupní cena včetně provize zprostředkovatele a právního servisu.,230V,,,2,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
