,link,location,district,HouseType,total price,Update,Building,Object status,Location of the house,Home type,The floor,Built-up area,Usable area,Floor area,Land area,Garden area,Store,Move-in date,Water,Heating,Gas,Garbage,Transport,Communication,Energy efficiency of the building,Barrier-free,Equipment,companyName,proximityIndex,Index,Note on price,Electricity,Indicator of energy efficiency of the building,Object location,Parking,Garage,Year of reconstruction,Lift,Year of approval,Telecommunication,Certificate of energy performance of the building,Swimming pool,Housing costs,Discounted,Original price,Condition,locationLat,locationLong,price,provize,právního,dph,poplatků,cena k jednání,Built-up areaNan,Floor areaNan,Land areaNan,Garden areaNan,Year of reconstructionNan,Year of approvalNan
2887,https://www.sreality.cz/detail/prodej/dum/chata/zbraslavice-hodkov-/2280843084,"Zbraslavice - Hodkov, okres Kutná Hora",kutna-hora,"chaty
",1 600 000 Kč za nemovitost,Včera,Dřevěná,Dobrý,Samostatný,Přízemní,1,0.531842823012964,0.3374937590441285,0.38845068204338606,0.41461375730136313,0.5462226124648275,Missing,Missing,Dálkový vodovod,Lokální tuhá paliva,Missing,Veřejná kanalizace,Missing,Missing,Třída G - Mimořádně nehospodárná,Missing,Missing,Duna House,0.8792290242527157,3024,Nothing,"230V, 400V",Missing,Okraj obce,Missing,Missing,0.7500160339225485,Missing,0.8982976914657357,Missing,Missing,Missing,Missing,1 600 000 Kč za nemovitost,1 800 000 Kč,Missing,49.785123,15.1500506,0.3673947070894994,Missing,Missing,Missing,Missing,Missing,1,0,0,1,1,0
5314,https://www.sreality.cz/detail/prodej/dum/chata/pelhrimov--/3755059020,"Pelhřimov, okres Pelhřimov",pelhrimov,"chaty
",2 290 000 Kč za nemovitost,07.09.2022,Cihlová,Ve výstavbě,Samostatný,Patrový,2,0.40179882242515313,0.3710825819981009,0.5331315879193048,0.44957149038320815,0.5462226124648275,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Missing,0,RE/MAX A-City,0.2842821550016592,5558,včetně provize realitní kanceláře,Missing,Missing,Okraj obce,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.4308737,15.2232341,0.4190642656772705,True,Missing,Missing,Missing,Missing,0,1,0,1,1,1
2339,https://www.sreality.cz/detail/prodej/dum/rodinny/lany-lany-slunecni/3576845900,"Sluneční, Lány",kladno,"rodinne-domy
",14 990 000 Kč za nemovitost,13.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,0.4826118593198798,0.46186967341970414,0.531605651503562,0.5228733437938826,0.6241965923919565,Missing,15.11.2022,"Dálkový vodovod, Studna",Ústřední elektrické,Missing,Veřejná kanalizace,"Dálnice, Silnice, Autobus","Asfaltová, Štěrková",Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0.0,Missing,NEMOVITO by Keller Williams,0.722057471134592,2445,Nothing,230V,Missing,Missing,1.0,Missing,0.7500160339225485,Missing,0.9493004902331208,Internet,Missing,1.0,Missing,Missing,Missing,Missing,50.1252156,13.9438968,0.6898183711125006,Missing,Missing,Missing,Missing,Missing,0,0,0,0,1,1
3088,https://www.sreality.cz/detail/prodej/dum/undefined/cernosice-cernosice-postovni/2565338700,"Poštovní, Černošice",praha-zapad,"vicegeneracni-domy
",16 000 000 Kč za nemovitost,03.10.2022,Smíšená,Velmi dobrý,Missing,Patrový,3 včetně 1 podzemního,0.5079494626412853,0.4979689373801588,0.5731554085906827,0.4606260759614421,0.5360147822524249,64 m2,Ihned,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,Missing,Missing,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,Missing,Missing,Appartamenti - luxusní byty Praha,0.6006367287626335,3234,Nothing,230V,Missing,Missing,Missing,1.0,0.7500697851336824,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.9588747,14.3171083,0.6992149734896866,Missing,Missing,Missing,Missing,Missing,0,0,0,0,0,1
193,https://www.sreality.cz/detail/prodej/dum/rodinny/bochov-bochov-na-kopecku/1821112140,"Na Kopečku, Bochov",karlovy-vary,"rodinne-domy
",2 800 000 Kč za nemovitost,12.10.2022,Cihlová,Dobrý,Řadový,Přízemní,2 včetně 1 podzemního,0.531842823012964,0.4605248327979876,0.5331315879193048,0.4040065782109481,0.5462226124648275,Missing,Missing,Dálkový vodovod,Lokální tuhá paliva,Missing,Veřejná kanalizace,"Silnice, Autobus",Missing,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Missing,1,M&M reality,0.4942755717220164,200,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,230V,Missing,Klidná část obce,4.0,Missing,0.7500160339225485,0.0,0.9493004902331208,Internet,Missing,Missing,Missing,Missing,Missing,Missing,50.1506762,13.0427805,0.4480396571499674,Missing,Missing,Missing,Missing,Missing,1,1,0,1,1,1
452,https://www.sreality.cz/detail/prodej/dum/rodinny/plana-svahy-/2017429068,"Planá - Svahy, okres Tachov",tachov,"rodinne-domy
",6 799 000 Kč za nemovitost,21.10.2022,Dřevěná,Novostavba,Samostatný,Přízemní,1,0.5089722086166886,0.41740525677215246,0.4804277185476392,0.5032887457886926,0.596333711369837,Missing,Missing,Studna,Podlahové,Missing,ČOV pro celý objekt,"Silnice, Autobus",Asfaltová,Třída B - Velmi úsporná,1.0,Missing,EasyHomes reality,0.9393587909862562,474,Nothing,230V,Missing,Klidná část obce,1.0,Missing,0.7500160339225485,0.0,0.9493004902331208,Missing,Zobrazit průkaz energetické náročnosti budovy,Missing,Missing,Missing,Missing,Missing,49.8253959,12.8208583,0.5758856953929175,Missing,Missing,Missing,Missing,Missing,0,0,0,0,1,1
4658,https://www.sreality.cz/detail/prodej/dum/rodinny/malsice--/4258850636,"Malšice, okres Tábor",tabor,"rodinne-domy
",5 800 000 Kč za nemovitost,21.10.2022,Smíšená,Po rekonstrukci,Samostatný,Přízemní,1,0.531842823012964,0.4393295074389318,0.5056622299914109,0.5039638219161006,0.5462226124648275,Missing,Missing,Studna,Podlahové,Missing,Septik,Silnice,Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0.0,1,Reality KLÍČ,0.940462785391394,4872,- cena včetně právních a realitních služeb,"230V, 400V",Missing,Centrum obce,Missing,Missing,0.7500160339225485,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.3637731,14.5787331,0.5529844402684234,Missing,Missing,Missing,Missing,Missing,1,0,0,1,1,1
456,https://www.sreality.cz/detail/prodej/dum/rodinny/milire-milire-/4178175564,"Milíře, okres Tachov",tachov,"rodinne-domy
",4 000 000 Kč za nemovitost,Dnes,Smíšená,Dobrý,Samostatný,Přízemní,1 včetně 1 podzemního,0.6517801898801225,0.559287471525704,0.5331315879193048,0.6970162461646328,0.5462226124648275,1,Missing,Dálkový vodovod,Lokální tuhá paliva,Missing,Jímka,Autobus,Missing,Missing,1.0,Missing,Molík reality,0.9150384528876561,478,Nothing,"230V, 400V",Missing,Klidná část obce,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,4 000 000 Kč za nemovitost,4 499 000 Kč,Missing,49.7962941,12.5503857,0.4994392667783476,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
3699,https://www.sreality.cz/detail/prodej/dum/vila/praha-smichov-/1176577612,Praha 5 - Smíchov,praha-5,"vily
",32 500 000 Kč za nemovitost,14.10.2022,Cihlová,Po rekonstrukci,Missing,Patrový,2 včetně 1 podzemního,0.5223654006013874,0.5239452287704182,0.5787516766826334,0.47902980957923064,0.5462226124648275,1,Ihned,Dálkový vodovod,Lokální plynové,Plynovod,Veřejná kanalizace,Missing,Missing,Missing,Missing,Missing,YD HOME,0.42481231345970816,3868,Nothing,Missing,Missing,Missing,Missing,1.0,0.7500160339225485,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.0606091,14.4090256,0.8013370996730296,Missing,Missing,Missing,Missing,Missing,0,0,0,1,1,1
5660,https://www.sreality.cz/detail/prodej/dum/rodinny/zeretice-zeretice-/2268911436,"Žeretice, okres Jičín",jicin,"rodinne-domy
",4 990 000 Kč za nemovitost,21.10.2022,Smíšená,Velmi dobrý,Samostatný,Přízemní,Missing,0.531842823012964,0.42363855346288076,0.5331315879193048,0.45898786800324853,0.5462226124648275,Missing,Missing,"Dálkový vodovod, Studna",Lokální tuhá paliva,Missing,Septik,Silnice,Asfaltová,Třída G - Mimořádně nehospodárná,Missing,Missing,SIMPLY REALITY,0.7398098452727508,5925,"+ provize RK, včetně právního servisu",230V,Missing,Klidná část obce,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,4 990 000 Kč za nemovitost,5 490 000 Kč,Missing,50.3534507,15.4113715,0.531307469089878,True,True,Missing,Missing,Missing,1,1,0,1,1,1
