,link,location,district,HouseType,total price,Update,Building,Object status,Location of the house,Home type,The floor,Built-up area,Usable area,Floor area,Land area,Garden area,Store,Move-in date,Water,Heating,Gas,Garbage,Transport,Communication,Energy efficiency of the building,Barrier-free,Equipment,companyName,proximityIndex,Index,Note on price,Electricity,Indicator of energy efficiency of the building,Object location,Parking,Garage,Year of reconstruction,Lift,Year of approval,Telecommunication,Certificate of energy performance of the building,Swimming pool,Housing costs,Discounted,Original price,Condition,locationLat,locationLong,price,provize,právního,dph,poplatků,cena k jednání,Built-up areaNan,Floor areaNan,Land areaNan,Garden areaNan,Year of reconstructionNan,Year of approvalNan
1805,https://www.sreality.cz/detail/prodej/dum/chalupa/dolni-poustevna-karlin-/527526236,"Dolní Poustevna - Karlín, okres Děčín",decin,"chalupy
",2 260 000 Kč za nemovitost,18.10.2022,Cihlová,Dobrý,Samostatný,Patrový,Missing,0.531842823012964,0.49041211147658387,0.5331315879193048,0.5149652145257946,0.5462226124648275,1,Ihned,Místní zdroj,Ústřední tuhá paliva,Plynovod,Jímka,Missing,Asfaltová,Třída G - Mimořádně nehospodárná,Missing,0,"Broker Consulting, a.s.",0.8149034557768797,1898,Nothing,230V,Missing,Missing,1.0,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,0,Missing,Missing,Missing,50.9948759,14.3009091,0.41716391667945363,Missing,Missing,Missing,Missing,Missing,1,1,0,1,1,1
2372,https://www.sreality.cz/detail/prodej/dum/rodinny/zlonice-brestany-/2734877020,"Zlonice - Břešťany, okres Kladno",kladno,"rodinne-domy
",5 995 000 Kč za nemovitost,07.10.2022,Cihlová,Po rekonstrukci,V bloku,Přízemní,Missing,0.531842823012964,0.4107263582330072,0.5331315879193048,0.43189705241718124,0.5462226124648275,Missing,Missing,"Dálkový vodovod, Studna",Missing,Plynovod,Veřejná kanalizace,"Vlak, Dálnice, Silnice, Autobus",Missing,Třída G - Mimořádně nehospodárná,Missing,Částečně,CENTURY 21 FairTrade,0.7488267448073957,2481,Včetně realitního i právního servisu,"230V, 400V",Missing,Missing,2.0,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.2832828,14.1154321,0.5577497754448317,Missing,True,Missing,Missing,Missing,1,1,0,1,1,1
3986,https://www.sreality.cz/detail/prodej/dum/vila/praha-benice-k-pitkovicum/4034377292,"K Pitkovicům, Praha 10 - Benice",praha-10,"vily
",28 900 000 Kč za nemovitost,20.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,Missing,0.6361723036307825,0.5256477314111024,0.5331315879193048,0.5688880028494953,0.6703579963483205,Missing,Missing,"Místní zdroj, Dálkový vodovod",Lokální plynové,Individuální,Missing,"Vlak, Dálnice, Silnice, MHD, Autobus",Missing,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,Missing,1,PRESTIGE GROUP - Realitní kancelář,0.7171829091497599,4169,"bez poplatků, včetně provize",Missing,"89,0 kWh/m^2 za rok",Missing,Missing,1.0,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.0124503,14.6012277,0.7844190714339456,True,Missing,Missing,Missing,Missing,0,1,0,0,1,1
2482,https://www.sreality.cz/detail/prodej/dum/rodinny/svarov-svarov-lipova/373339980,"Lipová, Svárov",kladno,"rodinne-domy
",24 950 000 Kč za nemovitost,07.10.2022,Cihlová,Velmi dobrý,Samostatný,Přízemní,2 včetně 1 podzemního,0.531842823012964,0.5327908793123876,0.5331315879193048,0.5659394676814681,0.5462226124648275,1,Missing,Dálkový vodovod,"Lokální tuhá paliva, Jiné",Missing,Veřejná kanalizace,"Silnice, MHD, Autobus",Missing,Třída C - Úsporná č. 148/2007 Sb. podle vyhlášky,1.0,1,M&M reality,0.7736702051079745,2597,Cena včetně právního servisu a provize RK,"230V, 400V","98,0 kWh/m^2 za rok",Klidná část obce,4.0,1.0,0.7500160339225485,0.0,0.9493004902331208,Internet,Missing,Missing,Missing,Missing,Missing,Missing,50.0590744,14.1516135,0.7632398821343962,True,True,Missing,Missing,Missing,1,1,0,1,1,1
754,https://www.sreality.cz/detail/prodej/dum/chata/bdeneves-bdeneves-/853636684,"Bdeněves, okres Plzeň-sever",plzen-sever,"chaty
",1 650 000 Kč za nemovitost,09.08.2022,Smíšená,Velmi dobrý,Samostatný,Přízemní,1 včetně 1 podzemního,0.38725436333379165,0.33229993342707753,0.5331315879193048,0.3753558808466998,0.5462226124648275,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Realitní & vzdělávací agentura,0.7998374334774658,785,Nothing,Missing,Missing,Polosamota,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.7695307,13.2351805,0.37182914037383075,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
245,https://www.sreality.cz/detail/prodej/dum/rodinny/karlovy-vary-rybare-slepa/3167820,"Slepá, Karlovy Vary - Rybáře",karlovy-vary,"rodinne-domy
",9 900 000 Kč za nemovitost,16.08.2022,Smíšená,Dobrý,Samostatný,Patrový,3,0.6183213686761089,0.5808471692968225,0.6685471154055292,0.4211489950518149,0.5462226124648275,Missing,31.10.2022,Missing,Ústřední elektrické,Missing,Veřejná kanalizace,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,Missing,Missing,Realitní kancelář Sedláček,0.4414904352388227,256,cena k jednání,Missing,Missing,Klidná část obce,Missing,1.0,0.7500160339225485,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.2340954,12.8585186,0.6300354955757701,Missing,Missing,Missing,Missing,True,0,0,0,1,1,1
5157,https://www.sreality.cz/detail/prodej/dum/chalupa/jihlavka-jihlavka-/194759004,"Jihlávka, okres Jihlava",jihlava,"chalupy
",5 730 000 Kč za nemovitost,Dnes,Cihlová,Dobrý,Samostatný,Přízemní,1,0.6097893353647086,0.523255448439134,0.5331315879193048,0.6209913824946882,0.5462226124648275,Missing,Ihned,Dálkový vodovod,"Lokální plynové, Lokální tuhá paliva",Plynovod,Septik,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Missing,1,RE/MAX Stars,0.7769740488924046,5390,Nothing,230V,Missing,Polosamota,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.2611229,15.2924732,0.5512346287007617,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
1001,https://www.sreality.cz/detail/prodej/dum/zemedelska-usedlost/mutenin-mutenin-/3720898124,"Mutěnín, okres Domažlice",domazlice,"zemedelske-usedlosti
",16 800 000 Kč za nemovitost,21.10.2022,Cihlová,Dobrý,Missing,Přízemní,1,0.45127705443352234,0.45202217277182916,0.5331315879193048,0.8777026646006386,0.5462226124648275,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,MojePole.cz,0.8683828483266802,1041,Nothing,Missing,Missing,Missing,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.544745,12.744559,0.7062460123519068,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
1646,https://www.sreality.cz/detail/prodej/dum/rodinny/jilove-kamenna-vilova/2914383692,"Vilová, Jílové - Kamenná",decin,"rodinne-domy
",5 000 000 Kč za nemovitost,18.10.2022,Smíšená,Dobrý,Samostatný,Patrový,2 včetně 1 podzemního,0.5587570123815531,0.3826771393189437,0.5331315879193048,0.47151858127608604,0.5462226124648275,1,Ihned,Dálkový vodovod,"Lokální tuhá paliva, Ústřední plynové",Plynovod,Missing,"Vlak, Silnice, MHD, Autobus",Missing,Třída G - Mimořádně nehospodárná,Missing,Missing,Vesta realitní kancelář,0.617290275399268,1723,"včetně provize ( v případě více zájmu, si kupující vyhrazuje právo vybrat nejvýhodnější nabídku)",230V,Missing,Klidná část obce,2.0,1.0,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.7709568,14.1134816,0.5315959731115267,True,Missing,Missing,Missing,Missing,0,1,0,1,1,1
4728,https://www.sreality.cz/detail/prodej/dum/rodinny/zalsi-zalsi-/311199308,"Zálší, okres Tábor",tabor,"rodinne-domy
",4 900 000 Kč za nemovitost,04.10.2022,Cihlová,Dobrý,Samostatný,Přízemní,1,0.531842823012964,0.45052670389725563,0.5331315879193048,0.49038399710749014,0.567774460977017,1,Missing,Missing,Lokální elektrické,Missing,Septik,Silnice,Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0.0,1,BYDLENÍČKO s.r.o.,0.8560742460432615,4943,Nothing,230V,Missing,Klidná část obce,Missing,Missing,0.7500160339225485,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.2179173,14.5991895,0.5286846072104354,Missing,Missing,Missing,Missing,Missing,1,1,0,0,1,1
930,https://www.sreality.cz/detail/prodej/dum/rodinny/horsovsky-tyn-velke-predmesti-domazlicka/2697730396,"Domažlická, Horšovský Týn - Velké Předměstí",domazlice,"rodinne-domy
",9 950 000 Kč za nemovitost,10.10.2022,Cihlová,Dobrý,Samostatný,Přízemní,1. podlaží z celkem 1 včetně 1 podzemního,0.7332834720743857,0.6059424011463241,0.5331315879193048,0.5797002076602895,0.5462226124648275,1,Missing,Dálkový vodovod,Ústřední tuhá paliva,Plynovod,Veřejná kanalizace,"Vlak, Silnice, Autobus",Dlážděná,Třída G - Mimořádně nehospodárná,Missing,1,Fincentrum Reality,0.491728452104526,968,Nothing,"230V, 400V",Missing,Okraj obce,1.0,1.0,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.5209143,12.9476147,0.6307614805403112,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
5840,https://www.sreality.cz/detail/prodej/dum/rodinny/nachod-beloves-na-vaclavaku/2884012380,"Na Václaváku, Náchod - Běloves",nachod,"rodinne-domy
",4 990 000 Kč za nemovitost,16.10.2022,Cihlová,Velmi dobrý,Samostatný,Přízemní,Missing,0.640517332853754,0.49520622952507054,0.5699755697882256,0.4824146003848858,0.5462226124648275,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1,Bidli,0.5153908199530144,6108,Nothing,Missing,Missing,Missing,Missing,Missing,0.7500160339225485,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Rezervováno,50.4254829,16.1858253,0.531307469089878,Missing,Missing,Missing,Missing,Missing,0,0,0,1,1,1
5575,https://www.sreality.cz/detail/prodej/dum/rodinny/hradec-kralove-malsovice-jandova/213603916,"Jandova, Hradec Králové - Malšovice",hradec-kralove,"rodinne-domy
",19 850 000 Kč za nemovitost,14.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,0.5457666442649779,0.5400071804973701,0.6367351488616753,0.44553682825932905,0.5003560614362247,1,Ihned,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Silnice, MHD",Asfaltová,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,0.0,Missing,"Milan Jaška, realitní makléř",0.48893610023406775,5837,Nothing,Missing,Missing,Missing,4.0,1.0,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.2022405,15.8536444,0.7302867985835668,Missing,Missing,Missing,Missing,Missing,0,0,0,0,1,1
3114,https://www.sreality.cz/detail/prodej/dum/rodinny/nova-ves-pod-plesi-nova-ves-pod-plesi-zahoranska/3049924428,"Zahořanská, Nová Ves pod Pleší",pribram,"rodinne-domy
",18 900 000 Kč za nemovitost,21.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,0.5703618783249473,0.5420110969971835,0.5331315879193048,0.5424378103675224,0.5462226124648275,Missing,Missing,Missing,Jiné,Missing,Missing,Missing,Missing,Třída G - Mimořádně nehospodárná,Missing,Missing,FARAON reality,0.7406654281196856,3261,Nothing,Missing,Missing,Missing,1.0,2.0,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.8443945,14.2794794,0.7232194559774388,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
3338,https://www.sreality.cz/detail/prodej/dum/chata/dobris-dobris-/2618325340,"Dobříš, okres Příbram",pribram,"chaty
",3 000 000 Kč za nemovitost,20.10.2022,Montovaná,Dobrý,Samostatný,Přízemní,2 včetně 1 podzemního,0.531842823012964,0.36374824731802446,0.5331315879193048,0.4275735026777254,0.5462226124648275,Missing,Missing,"Místní zdroj, Dálkový vodovod",Lokální tuhá paliva,Missing,Jímka,"Silnice, Autobus",Missing,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Missing,0,M&M reality,0.35222707357390526,3488,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"120V, 230V",Missing,Klidná část obce,Missing,Missing,0.7500160339225485,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.7813749,14.1704372,0.45798206191327884,Missing,Missing,Missing,Missing,Missing,1,1,0,1,1,1
4757,https://www.sreality.cz/detail/prodej/dum/rodinny/nova-ves-u-mlade-vozice--/3711211084,"Nová Ves u Mladé Vožice, okres Tábor",tabor,"rodinne-domy
",16 000 000 Kč za nemovitost,16.10.2022,Smíšená,Po rekonstrukci,Samostatný,Přízemní,1,0.531842823012964,0.6204724815232396,0.5331315879193048,0.5906871394298688,0.5462226124648275,Missing,Ihned,Místní zdroj,Lokální tuhá paliva,Missing,Jímka,Silnice,Missing,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Missing,Částečně,M&M reality,0.7841958384948635,4973,Nothing,"120V, 230V, 400V",Missing,Okraj obce,Missing,1.0,0.7500160339225485,0.0,0.9493004902331208,Internet,Missing,1.0,Missing,Missing,Missing,Missing,49.5430303,14.7479621,0.6992149734896866,Missing,Missing,Missing,Missing,Missing,1,1,0,1,1,1
5843,https://www.sreality.cz/detail/prodej/dum/rodinny/cerveny-kostelec-stolin-/4016068172,"Červený Kostelec - Stolín, okres Náchod",nachod,"rodinne-domy
",2 800 000 Kč za nemovitost,06.10.2022,Cihlová,Dobrý,Samostatný,Přízemní,Missing,0.531842823012964,0.6941210029705827,0.49101757806530033,0.5178621769588133,0.5462226124648275,1,Missing,Dálkový vodovod,"Lokální tuhá paliva, Lokální elektrické",Missing,Jímka,"Silnice, Autobus",Neupravená,Třída G - Mimořádně nehospodárná,1.0,1,RealitySisi,0.7583318710027573,6111,včetně provize RK,"230V, 400V",Missing,Polosamota,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Kabelové rozvody,Missing,Missing,Missing,Missing,Missing,Missing,50.4774295,16.0913721,0.4480396571499674,True,Missing,Missing,Missing,Missing,1,0,0,1,1,1
2954,https://www.sreality.cz/detail/prodej/dum/chata/hrdlorezy-hrdlorezy-/464074572,"Hrdlořezy, okres Mladá Boleslav",mlada-boleslav,"chaty
",6 990 000 Kč za nemovitost,08.10.2022,Smíšená,Dobrý,Samostatný,Patrový,1,0.4459627494384526,0.42660593953981846,0.5331315879193048,0.5081709999393645,0.5462226124648275,Missing,Ihned,Missing,Missing,Missing,Septik,Missing,Missing,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Missing,Částečně,RE/MAX Alfa,0.8801208221239862,3092,Nothing,Missing,Missing,Klidná část obce,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.4513933,14.8753972,0.5798782014918187,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
1901,https://www.sreality.cz/detail/prodej/dum/rodinny/benesov-benesov-/3650627404,Benešov,benesov,"rodinne-domy
",9 360 000 Kč za nemovitost,21.10.2022,Smíšená,Dobrý,Samostatný,Patrový,Missing,0.5443045867946996,0.519728055829657,0.5331315879193048,0.5379798235639811,0.5462226124648275,Missing,Missing,Dálkový vodovod,Lokální plynové,Individuální,Veřejná kanalizace,"Vlak, Silnice, Autobus",Missing,Třída G - Mimořádně nehospodárná,Missing,Missing,MAXIMA REALITY,0.48158107529960903,1996,Nothing,230V,Missing,Missing,1.0,1.0,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.7818921,14.6869121,0.6219525709433551,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
4972,https://www.sreality.cz/detail/prodej/dum/rodinny/habry-habry-prazska/2645305692,"Pražská, Habry",havlickuv-brod,"rodinne-domy
",4 300 000 Kč za nemovitost,16.09.2022,Cihlová,Před rekonstrukcí,Samostatný,Patrový,Missing,0.531842823012964,0.5175458988740739,0.5331315879193048,0.45898786800324853,0.5462226124648275,Missing,Missing,Dálkový vodovod,Missing,Missing,Missing,Autobus,Asfaltová,Třída G - Mimořádně nehospodárná,Missing,Missing,EVROPA realitní kancelář HAVLÍČKŮV BROD,0.038773463381617246,5197,Nothing,"230V, 400V",Missing,Centrum obce,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.7571793,15.4847429,0.5098612317535425,Missing,Missing,Missing,Missing,Missing,1,1,0,1,1,1
3787,https://www.sreality.cz/detail/prodej/dum/rodinny/praha-brevnov-ricanova/2280470092,"Říčanova, Praha 6 - Břevnov",praha-6,"rodinne-domy
",34 990 000 Kč za nemovitost,19.08.2022,Cihlová,Před rekonstrukcí,Řadový,Patrový,3 včetně 1 podzemního,0.531842823012964,0.4923593654644053,0.5826462816794186,0.4808954406467829,0.5462226124648275,30 m2,Missing,Dálkový vodovod,Lokální plynové,Plynovod,Veřejná kanalizace,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,Missing,0,L2reality,0.5395810518589319,3959,"včetně poplatků, včetně provize, včetně právního servisu","230V, 400V","309,0 kWh/m^2 za rok",Klidná část obce,Missing,1.0,0.7500160339225485,0.0,0.585702671260087,"Telefon, Internet",Zobrazit průkaz energetické náročnosti budovy,Missing,Missing,Missing,Missing,Missing,50.0813061,14.352769,0.8119754503686423,True,True,Missing,True,Missing,1,0,0,1,1,0
206,https://www.sreality.cz/detail/prodej/dum/rodinny/pernink-pernink-meinlova/4046075724,"Meinlova, Pernink",karlovy-vary,"rodinne-domy
",6 550 000 Kč za nemovitost (k jednání),19.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,4,0.5631776278993215,0.49520622952507054,0.5562236757955545,0.3876791127163273,0.5462226124648275,1,Missing,Dálkový vodovod,Ústřední plynové,Missing,Veřejná kanalizace,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,Missing,Missing,WMreality,0.6677193191343302,214,Nothing,400V,Missing,Klidná část obce,1.0,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,6 550 000 Kč za nemovitost (k jednání),6 900 000 Kč,Missing,50.365865,12.7827814,0.5705089656771176,Missing,Missing,Missing,Missing,Missing,0,0,0,1,1,1
2362,https://www.sreality.cz/detail/prodej/dum/rodinny/kladno-rozdelov-ludvika-kuny/1553552972,"Ludvíka Kuny, Kladno - Rozdělov",kladno,"rodinne-domy
",7 900 000 Kč za nemovitost,10.10.2022,Cihlová,Po rekonstrukci,Řadový,Patrový,3 včetně 1 podzemního,0.531842823012964,0.4152315585532301,0.5331315879193048,0.3919426622619012,0.5462226124648275,1,Missing,Dálkový vodovod,Lokální plynové,Missing,Veřejná kanalizace,"Silnice, MHD, Autobus",Missing,Třída D - Méně úsporná č. 148/2007 Sb. podle vyhlášky,Missing,0,M&M reality,0.6026839482280537,2470,Včetně provize RK a kompletního právního servisu. . V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"230V, 400V","252,0 kWh/m^2 za rok",Klidná část obce,Missing,Missing,0.7502845239488867,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.1365508,14.063033,0.5975144206270282,True,True,Missing,Missing,Missing,1,1,0,1,0,1
1393,https://www.sreality.cz/detail/prodej/dum/rodinny/krabcice-krabcice-/2206792028,"Krabčice, okres Litoměřice",litomerice,"rodinne-domy
",3 999 000 Kč za nemovitost,Včera,Smíšená,Dobrý,Řadový,Přízemní,1,0.531842823012964,0.4928399053952821,0.5331315879193048,0.43007529278034606,0.5462226124648275,1,Missing,Místní zdroj,Ústřední plynové,Plynovod,Veřejná kanalizace,Missing,Missing,Třída G - Mimořádně nehospodárná,Missing,Částečně,Stars reality,0.7770945716008406,1454,Nothing,"230V, 400V",Missing,Okraj obce,3.0,1.0,0.7500160339225485,0.0,0.9493004902331208,"Telefon, Internet",Missing,Missing,Missing,Missing,Missing,Missing,50.405371,14.3013154,0.49940323534656095,Missing,Missing,Missing,Missing,Missing,1,1,0,1,1,1
2414,https://www.sreality.cz/detail/prodej/dum/rodinny/unhost-unhost-/2662508364,"Unhošť, okres Kladno",kladno,"rodinne-domy
",8 500 000 Kč za nemovitost,09.10.2022,Cihlová,Velmi dobrý,Řadový,Patrový,3 včetně 1 podzemního,0.531842823012964,0.47435015974963196,0.5331315879193048,0.45843354541013104,0.5462226124648275,Missing,Missing,Místní zdroj,Lokální plynové,Missing,Veřejná kanalizace,"Silnice, Autobus",Missing,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Missing,Částečně,M&M reality,0.5638387709578703,2524,Včetně provize RK a kompletního právního servisu. . V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"230V, 400V",Missing,Klidná část obce,2.0,1.0,0.7500160339225485,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.08499,14.1318613,0.6080635955949014,True,True,Missing,Missing,Missing,1,1,0,1,1,1
630,https://www.sreality.cz/detail/prodej/dum/rodinny/uherce-uherce-naves/3513190748,"Náves, Úherce",plzen-sever,"rodinne-domy
",3 950 000 Kč za nemovitost,17.10.2022,Skeletová,Ve výstavbě,Samostatný,Patrový,Missing,0.531842823012964,0.42057385888088217,0.5331315879193048,0.45369269688509584,0.5462226124648275,Missing,Missing,Dálkový vodovod,Jiné,Missing,Veřejná kanalizace,Missing,Missing,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,0.0,0,NEXT REALITY LANDRGOTT REALITY,0.6024871263859586,656,Nothing,Missing,Missing,Klidná část obce,1.0,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.7004821,13.2151334,0.4976265672713587,Missing,Missing,Missing,Missing,Missing,1,1,0,1,1,1
4601,https://www.sreality.cz/detail/prodej/dum/rodinny/radomysl-radomysl-spojovaci/412224348,"Spojovací, Radomyšl",strakonice,"rodinne-domy
",9 990 000 Kč za nemovitost,21.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,4 včetně 1 podzemního,0.5168258180780185,0.5667505364633311,0.5331315879193048,0.4885637482066609,0.5462226124648275,1,Missing,"Místní zdroj, Dálkový vodovod",Ústřední plynové,Plynovod,"Veřejná kanalizace, Septik","Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,0.0,Missing,REALITY BLATNÁ - RNDr. PETR KERNDL,0.27655509709305637,4812,Nothing,"230V, 400V",Missing,Klidná část obce,Missing,1.0,0.7500160339225485,0.0,0.9493004902331208,"Telefon, Internet, Satelit",Missing,1.0,Missing,Missing,Missing,Missing,49.314742,13.9268797,0.6313396466545873,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
2222,https://www.sreality.cz/detail/prodej/dum/rodinny/lany-lany-k-betynce/361830220,"K Betynce, Lány",kladno,"rodinne-domy
",9 180 000 Kč za nemovitost,21.10.2022,Cihlová,Novostavba,Řadový,Patrový,2,0.4702679123653209,0.46706349903675515,0.5375836734648334,0.40312322463710465,0.5462226124648275,Missing,Ihned,Dálkový vodovod,Lokální elektrické,Plynovod,Veřejná kanalizace,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Missing,Částečně,FIOREAL s.r.o.,0.760739937279008,2325,Nothing,230V,Missing,Klidná část obce,1.0,Missing,0.7500160339225485,0.0,0.9493004902331208,"Telefon, Internet, Kabelová televize",Missing,Missing,Missing,Missing,Missing,Missing,50.1241986,13.9405351,0.6191542750446755,Missing,Missing,Missing,Missing,Missing,0,0,0,1,1,1
1110,https://www.sreality.cz/detail/prodej/dum/chata/habrovany-habrovany-/3792262732,"Habrovany, okres Ústí nad Labem",usti-nad-labem,"chaty
",2 530 000 Kč za nemovitost,11.10.2022,Smíšená,Velmi dobrý,Samostatný,Patrový,3 včetně 1 podzemního,0.531842823012964,0.3447804197570053,0.5331315879193048,0.49633748095950414,0.5982521568011135,1,Missing,Studna,Missing,Missing,Jímka,"Dálnice, Autobus",Missing,Missing,Missing,1,Bydlení AJA s.r.o.,0.8295098020784406,1158,"včetně provize, včetně právního servisu",230V,Missing,Samota,Missing,Missing,0.7500160339225485,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.5985711,13.9816832,0.43342711879495077,True,True,Missing,Missing,Missing,1,1,0,0,1,1
5264,https://www.sreality.cz/detail/prodej/dum/rodinny/humpolec-humpolec-pelhrimovska/829474380,"Pelhřimovská, Humpolec",pelhrimov,"rodinne-domy
",6 800 000 Kč za nemovitost,10.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,3 včetně 1 podzemního,0.531842823012964,0.47665805011029716,0.5331315879193048,0.48448978995066044,0.5462226124648275,1,Missing,Dálkový vodovod,"Lokální plynové, Lokální tuhá paliva",Missing,Veřejná kanalizace,"Silnice, Autobus",Missing,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Missing,Částečně,M&M reality,0.6368651121615716,5506,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,120V,Missing,Klidná část obce,Missing,Missing,0.7499084515067382,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.5352464,15.3518254,0.5759068892617223,Missing,Missing,Missing,Missing,Missing,1,1,0,1,0,1
4572,https://www.sreality.cz/detail/prodej/dum/rodinny/zabori-zabori-/1421874764,"Záboří, okres Strakonice",strakonice,"rodinne-domy
",1 190 000 Kč za nemovitost,19.10.2022,Smíšená,Před rekonstrukcí,Samostatný,Přízemní,1,0.4901266764517521,0.41187318011398383,0.4740603742830571,0.38620087592802665,0.5462226124648275,Missing,Ihned,Dálkový vodovod,Lokální tuhá paliva,Plynovod,Veřejná kanalizace,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,0.0,Missing,AURA reality,0.7160862936703138,4782,Nothing,400V,Missing,Missing,Missing,1.0,0.7500160339225485,Missing,0.9493004902331208,Satelit,Missing,Missing,Missing,Missing,Missing,Missing,49.378791,13.8269474,0.32473157292200305,Missing,Missing,Missing,Missing,Missing,0,0,0,1,1,1
