,location,Celková cena,Poznámka k ceně,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Umístění objektu,Podlaží,Užitná plocha,Plocha podlahová,Terasa,Sklep,Parkování,Rok rekonstrukce,Voda,Topení,Odpad,Elektřina,Doprava,Komunikace,Energetická náročnost budovy,Bezbariérový,Výtah,companyName,proximityIndex,Index,Lodžie,Vybavení,Datum nastěhování,Plocha zastavěná,Balkón,Typ bytu,Garáž,Rok kolaudace,Telekomunikace,Ukazatel energetické náročnosti budovy,Průkaz energetické náročnosti budovy,Plocha zahrady,Zlevněno,Původní cena,Náklady na bydlení,Převod do OV,Plyn,Datum prohlídky,ID,Cena
11,"Kralická, Praha 10 - Strašnice",7 990 000 Kč za nemovitost,"Prodává přímý majitel, neplatíte provizi!",KR22,Dnes,Cihlová,Velmi dobrý,Osobní,Centrum obce,5. podlaží z celkem 5,52 m2,52 m2,33 m2,,,,,,,,"Vlak, Dálnice, Silnice, MHD, Autobus",,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,PSN s.r.o.,663.952380952381,11,,,Ihned,52 m2,,,,,,,,,,,,,,,,
12,"Čenětická, Praha 4 - Chodov",6 637 000 Kč za nemovitost,"Prodává přímý majitel, neplatíte provizi!",SKY531m?,Dnes,Panelová,Po rekonstrukci,Osobní,Centrum obce,5. podlaží z celkem 10 včetně 1 podzemního,48 m2,48 m2,,,1,,,,,,"Vlak, Dálnice, Silnice, MHD, Autobus",,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,1,PSN s.r.o.,892.8095238095239,12,,,,48 m2,,,,,,,,,,,,,,,,
13,"Studentská, Praha 6 - Dejvice",7 700 000 Kč za nemovitost,"Prodává přímý majitel, neplatíte provizi!",ST1,Včera,Cihlová,Po rekonstrukci,Osobní,Centrum obce,1. podlaží z celkem 6,40 m2,40 m2,,2 m2,,,,,,,"Vlak, Dálnice, Silnice, MHD, Autobus",,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,1,PSN s.r.o.,629.4,13,,,,56 m2,,,,,,,,14 m2,,,,,,,,
14,"Perucká, Praha 2 - Vinohrady",,"Prodává přímý majitel, neplatíte provizi!",VN14,Dnes,Skeletová,Novostavba,Osobní,Centrum obce,1. podlaží z celkem 6,70 m2,28 m2,8 m2,1 m2,,,,,,,"Vlak, Dálnice, Silnice, MHD, Autobus",,Třída A - Mimořádně úsporná č. 78/2013 Sb. podle vyhlášky,,1,PSN s.r.o.,481.4,14,,,,70 m2,,,1,,,,,33 m2,6 125 000 Kč za nemovitost,6 702 000 Kč,,,,,,
15,"Perucká, Praha 2 - Vinohrady",8 491 000 Kč za nemovitost,"Prodává přímý majitel, neplatíte provizi!",VN12,Dnes,Skeletová,Novostavba,Osobní,Centrum obce,1. podlaží z celkem 6,90 m2,46 m2,10 m2,1 m2,,,,,,,"Vlak, Dálnice, Silnice, MHD, Autobus",,Třída A - Mimořádně úsporná č. 78/2013 Sb. podle vyhlášky,,1,PSN s.r.o.,486.95,15,,,,90 m2,,,1,,,,,32 m2,,,,,,,,
16,"Heřmanova Huť - Vlkýš, okres Plzeň-sever",3 739 000 Kč za nemovitost,,22465,Včera,Cihlová,Ve výstavbě,Státní/obecní,,3. podlaží z celkem 5 včetně 5 podzemních,59 m2,,,3 m2,1,,,,,,,,Třída B - Velmi úsporná,,1,"Broker Consulting, a.s.",1018.6,16,,,01.01.2024,,4 m2,,,2023,,,Zobrazit průkaz energetické náročnosti budovy,,,,,,,,,
17,"Mládežnická, Nymburk",3 190 000 Kč za nemovitost,,41265,Včera,Panelová,Před rekonstrukcí,Osobní,,1. podlaží,68 m2,,,,,,,,,,,,Třída G - Mimořádně nehospodárná,0,0,"Broker Consulting, a.s.",432.22222222222223,17,,1,Ihned,,1,,,,"Telefon, Internet",,,,,,0,,,,,
18,"Heřmanova Huť - Vlkýš, okres Plzeň-sever",2 279 000 Kč za nemovitost,,26110,Včera,Cihlová,Ve výstavbě,Státní/obecní,,3. podlaží z celkem 5,34 m2,,,2 m2,1,,,,,,,,Třída B - Velmi úsporná,,1,"Broker Consulting, a.s.",1018.6,18,,,01.01.2024,,4 m2,,,,,,Zobrazit průkaz energetické náročnosti budovy,,,,,,,,,
19,"Černého, Praha 8 - Střížkov",4 499 000 Kč za nemovitost (k jednání),,6970,Dnes,Panelová,Před rekonstrukcí,Družstevní,Klidná část obce,5. podlaží z celkem 11,70 m2,67 m2,,2 m2,,,Dálkový vodovod,Ústřední dálkové,Veřejná kanalizace,230V,"Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,1,GEPARD REALITY/Living,896.4761904761905,19,,0,,,1,,,,"Telefon, Internet, Satelit","60,0 kWh/m^2 za rok",Zobrazit průkaz energetické náročnosti budovy,,,,,Ne,,,,
20,"Libušina, Mariánské Lázně",2 590 000 Kč za nemovitost,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,813778,Včera,Panelová,Dobrý,Osobní,Sídliště,1. podlaží z celkem 5 včetně 1 podzemního,60 m2,,,1,1,,Dálkový vodovod,Ústřední dálkové,Veřejná kanalizace,"120V, 230V","Vlak, Silnice, MHD, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,M&M reality,610.7222222222222,20,1,0,Ihned,,,,,,,,,,,,,,,,,
