,link,location,district,HouseType,total price,Update,Building,Object status,Location of the house,Home type,The floor,Built-up area,Usable area,Floor area,Land area,Garden area,Store,Move-in date,Water,Heating,Gas,Garbage,Transport,Communication,Energy efficiency of the building,Barrier-free,Equipment,companyName,proximityIndex,Index,Note on price,Electricity,Indicator of energy efficiency of the building,Object location,Parking,Garage,Year of reconstruction,Lift,Cena,Year of approval,Telecommunication,Certificate of energy performance of the building,Swimming pool,Number of flats,Housing costs,Discounted,Original price,Pool area,Ceiling height,Condition,Soil construction,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,Auction decree,Expert opinion.1,Inspection date,Sale start date,Minimum purchase price,The date of the 1st inspection,The date of the 2nd inspection,Date of completion of construction,Inspection date to,locationLat,locationLong,price,provize,právního,dph,poplatků,cena k jednání
742,https://www.sreality.cz/detail/prodej/dum/chata/ulice-hracholusky-/1792132940,"Úlice - Hracholusky, okres Plzeň-sever",plzen-sever,"chaty
",1 200 000 Kč za nemovitost,05.10.2022,Cihlová,Dobrý,Samostatný,Přízemní,,48.0,45,,48.0,,,,,Lokální tuhá paliva,,,,,,,1,Bidli,2311.625,772,Nothing,,,Polosamota,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7817576,13.1614932,1200000,,,,,
4206,https://www.sreality.cz/detail/prodej/dum/zemedelska-usedlost/velesin--/338343756,"Velešín, okres Český Krumlov",cesky-krumlov,"zemedelske-usedlosti
",1 650 000 Kč za nemovitost (k jednání),24.08.2022,Smíšená,Před rekonstrukcí,,Patrový,2,238.0,238,238.0,1137.0,,,Ihned,,,,Veřejná kanalizace,"Vlak, Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,HVB Real Estate,1225.571428571429,4404,"Cena včetně provize, advokátní úschovy a právních služeb.",400V,,Okraj obce,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8292557,14.4635063,1650000,True,,,,
5486,https://www.sreality.cz/detail/prodej/dum/rodinny/hradec-kralove-malsovice-nahon/4069451340,"Náhon, Hradec Králové - Malšovice",hradec-kralove,"rodinne-domy
",14 990 000 Kč za nemovitost,17.10.2022,Cihlová,Po rekonstrukci,Samostatný,Patrový,2,143.0,202,202.0,869.0,,,,"Místní zdroj, Dálkový vodovod","Lokální tuhá paliva, Ústřední plynové, Ústřední elektrické",Plynovod,Veřejná kanalizace,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,iRealitka.cz,617.3157894736842,5741,Včetně provize a právního servisu.,"230V, 400V",,Klidná část obce,1.0,,,0.0,,,"Telefon, Internet, Satelit, Kabelová televize",,,,,,,,,,,,,,,,,,,,,,,,,,,50.20238,15.8694196,14990000,True,True,,,
4833,https://www.sreality.cz/detail/prodej/dum/undefined/veseli-nad-luznici-veseli-nad-luznici-ii-manesova/971183948,"Mánesova, Veselí nad Lužnicí - Veselí nad Lužnicí II",tabor,"vicegeneracni-domy
",6 600 000 Kč za nemovitost,20.10.2022,Cihlová,Velmi dobrý,Řadový,Patrový,2,162.0,222,,399.0,,1,,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná,,,Dům realit - A TEMPO,476.3571428571428,5052,Cena je včetně provize RK a právního servisu. Více informací Vám poskytne RK dumrealit.cz - A TEMPO,230V,,Klidná část obce,3.0,1.0,,,,,"Telefon, Internet, Kabelová televize",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,49.1850101,14.7058168,6600000,True,True,,,
2010,https://www.sreality.cz/detail/prodej/dum/chalupa/zvestov--/3368363852,"Zvěstov, okres Benešov",benesov,"chalupy
",3 290 000 Kč za nemovitost,21.10.2022,Smíšená,Velmi dobrý,Samostatný,Přízemní,1,,65,,1323.0,,1,,,"Lokální tuhá paliva, Lokální elektrické",,Septik,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,1,M&M reality,3042.5454545454545,2106,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,230V,,Klidná část obce,2.0,1.0,2011.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6326652,14.7921231,3290000,,,,,
4622,https://www.sreality.cz/detail/prodej/dum/chalupa/strelske-hostice-strelske-hostice-/2373199692,"Střelské Hoštice, okres Strakonice",strakonice,"chalupy
",2 495 000 Kč za nemovitost,17.10.2022,Smíšená,Dobrý,Samostatný,Přízemní,1,,130,,413.0,,,,Dálkový vodovod,Lokální tuhá paliva,,"Veřejná kanalizace, ČOV pro celý objekt","Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,M&M reality,1805.571428571429,4834,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"230V, 400V",,Klidná část obce,2.0,1.0,,0.0,,,Telefon,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2975948,13.7559554,2495000,,,,,
941,https://www.sreality.cz/detail/prodej/dum/rodinny/osvracin-osvracin-/2905007948,"Osvračín, okres Domažlice",domazlice,"rodinne-domy
",3 850 000 Kč za nemovitost,20.10.2022,Cihlová,Dobrý,Samostatný,Patrový,2,,239,,1009.0,,,Ihned,Místní zdroj,Lokální plynové,,Septik,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,2341.3125,980,Včetně právního servisu. V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"230V, 400V",,Klidná část obce,4.0,1.0,1995.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5131628,13.0469255,3850000,,True,,,
4701,https://www.sreality.cz/detail/prodej/dum/rodinny/mlada-vozice-mlada-vozice-obrancu-miru/3913390940,"Obránců míru, Mladá Vožice",tabor,"rodinne-domy
",5 600 000 Kč za nemovitost,11.10.2022,Cihlová,Dobrý,Samostatný,Patrový,2,324.0,480,488.0,1433.0,1109.0,,Ihned,Místní zdroj,Lokální plynové,Plynovod,"Veřejná kanalizace, Septik","Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,1,Finpos realitní kancelář,493.1428571428572,4916,Nothing,"230V, 400V",,Klidná část obce,20.0,1.0,,,,,"Telefon, Internet, Satelit",,,,,,,,,,,,,,,,,,,,,,,,,,,49.5266197,14.8118418,5600000,,,,,
2017,https://www.sreality.cz/detail/prodej/dum/chalupa/krecovice-policany-/1837918812,"Křečovice - Poličany, okres Benešov",benesov,"chalupy
",4 000 000 Kč za nemovitost,05.10.2022,Dřevěná,Velmi dobrý,Samostatný,Patrový,2 včetně 1 podzemního,73.0,122,,847.0,774.0,1,,Dálkový vodovod,Lokální tuhá paliva,,Jímka,Silnice,"Asfaltová, Neupravená",Třída G - Mimořádně nehospodárná,0.0,Částečně,Optimo.cz,2502.777777777778,2113,Včetně provize a právních služeb,230V,,Polosamota,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7363395,14.4276311,4000000,True,,,,
2783,https://www.sreality.cz/detail/prodej/dum/rodinny/chrastany-chotoun-/3148715852,"Chrášťany - Chotouň, okres Kolín",kolin,"rodinne-domy
",6 500 000 Kč za nemovitost (k jednání),07.10.2022,Cihlová,Před rekonstrukcí,,Přízemní,,112.0,100,,798.0,491.0,,,Studna,,,Veřejná kanalizace,"Vlak, Dálnice, Silnice, Autobus",,,,,Realitní Centrála,2208.5,2913,vč právních služeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0671238,14.9564827,6500000,,,,,
1402,https://www.sreality.cz/detail/prodej/dum/rodinny/prestavlky-prestavlky-/755451468,"Přestavlky, okres Litoměřice",litomerice,"rodinne-domy
",4 749 000 Kč za nemovitost,21.10.2022,Smíšená,Dobrý,Samostatný,Přízemní,,288.0,104,,574.0,286.0,,,"Místní zdroj, Dálkový vodovod",Ústřední plynové,Plynovod,Veřejná kanalizace,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná,,,MAXIMA REALITY,3131.3125,1463,Nothing,230V,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4035112,14.193855,4749000,,,,,
3198,https://www.sreality.cz/detail/prodej/dum/rodinny/rozmital-pod-tremsinem-rozmital-pod-tremsinem-tyrsova/215058780,"Tyršova, Rožmitál pod Třemšínem",pribram,"rodinne-domy
",2 600 000 Kč za nemovitost,12.10.2022,Cihlová,Před rekonstrukcí,Samostatný,Přízemní,2,190.0,190,,533.0,,,,,,,,,,Třída G - Mimořádně nehospodárná,,,PB Realitní,586.7857142857143,3348,Nothing,,,Okraj obce,,,,,,,,,,,,,,,,Rezervováno,,,,,,,,,,,,,,,,,,49.5972051,13.8644007,2600000,,,,,
1555,https://www.sreality.cz/detail/prodej/dum/rodinny/cizkovice-zelechovice-havlickova/3744278876,"Havlíčkova, Čížkovice - Želechovice",litomerice,"rodinne-domy
",3 640 000 Kč za nemovitost,11.08.2022,Smíšená,Před rekonstrukcí,Řadový,Přízemní,1,215.0,120,,162.0,100.0,,,"Dálkový vodovod, Studna","Lokální tuhá paliva, Ústřední elektrické",,"Septik, Jímka",Autobus,Asfaltová,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,ZOO REALITY,2189.6428571428573,1627,Cena je uvedena včetně provize a právního servisu,"230V, 400V",,Centrum obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4769441,14.0511896,3640000,True,True,,,
18,https://www.sreality.cz/detail/prodej/dum/rodinny/mnichov-rajov-/248219996,"Mnichov - Rájov, okres Cheb",cheb,"rodinne-domy
",7 600 000 Kč za nemovitost,16.10.2022,Cihlová,Novostavba,Samostatný,Patrový,2,108.0,177,177.0,1586.0,,,,,Jiné,,,,,Třída G - Mimořádně nehospodárná,,,Reality 11 slusnymakler.cz,4175.055555555556,18,cena včetně právního servisu a provize RK,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9972521,12.7625067,7600000,True,True,,,
5914,https://www.sreality.cz/detail/prodej/dum/chata/velichovky-velichovky-/468326748,"Velichovky, okres Náchod",nachod,"chaty
",3 690 000 Kč za nemovitost,19.09.2022,Smíšená,Velmi dobrý,Samostatný,Patrový,2,118.0,75,,169.0,,1,,Dálkový vodovod,Ústřední elektrické,,Veřejná kanalizace,"Dálnice, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,Donetta - DONETTA s. r. o. - realitní kancelář,1404.4615384615386,6184,Včetně provize RK,"230V, 400V",,Centrum obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3567708,15.8416841,3690000,True,,,,
2419,https://www.sreality.cz/detail/prodej/dum/rodinny/brandysek-brandysek-do-brodcu/2725238604,"Do Brodců, Brandýsek",kladno,"rodinne-domy
",6 690 000 Kč za nemovitost,05.10.2022,Smíšená,Velmi dobrý,Řadový,Přízemní,1,105.0,111,,227.0,,,,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,Částečně,RE/MAX G8 Reality,1601.125,2529,"včetně odměny RK, právních služeb a vyřízení hypotečního úvěru",230V,,Centrum obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1869187,14.1716836,6690000,,,,,
5394,https://www.sreality.cz/detail/prodej/dum/chalupa/teleci-teleci-/2390042444,"Telecí, okres Svitavy",svitavy,"chalupy
",1 790 000 Kč za nemovitost,20.10.2022,Smíšená,Dobrý,Rohový,Přízemní,,,110,,598.0,,,,Dálkový vodovod,Ústřední plynové,Plynovod,Jímka,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,Částečně,Honza Jelínek - realitní expert,1453.7,5643,Nothing,"230V, 400V","547,0 kWh/m^2 za rok",Klidná část obce,,1.0,,0.0,,,,Zobrazit průkaz energetické náročnosti budovy,,,,,,,,,,,,,,,,,,,,,,,,,,49.6949033,16.1810897,1790000,,,,,
671,https://www.sreality.cz/detail/prodej/dum/rodinny/lochousice-lochousice-/2938279756,"Lochousice, okres Plzeň-sever",plzen-sever,"rodinne-domy
",3 150 000 Kč za nemovitost,13.10.2022,Cihlová,Po rekonstrukci,Rohový,Patrový,2,56.0,119,85.0,119.0,119.0,,Ihned,"Místní zdroj, Studna","Lokální tuhá paliva, Ústřední elektrické",,ČOV pro celý objekt,"Silnice, Autobus",Asfaltová,,0.0,Částečně,PK REALITNÍ KANCELÁŘ s.r.o. - QARA s.r.o.,2691.5,697,Nothing,"230V, 400V",,,1.0,,,,,,Telefon,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6750932,13.0904447,3150000,,,,,
2623,https://www.sreality.cz/detail/prodej/dum/rodinny/zehun-zehun-/3402938716,"Žehuň, okres Kolín",kolin,"rodinne-domy
",3 850 000 Kč za nemovitost (k jednání),21.10.2022,Smíšená,Po rekonstrukci,Samostatný,Přízemní,,120.0,75,,417.0,,4 m2,,Dálkový vodovod,Ústřední elektrické,,Veřejná kanalizace,Silnice,Asfaltová,Třída G - Mimořádně nehospodárná,,Částečně,4fin Reality Better together Kolín,1454.090909090909,2745,"Včetně zajištění financování, včetně provize, včetně právního servisu, cena k jednání","230V, 400V",,Klidná část obce,1.0,,2020.0,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1356294,15.29057,3850000,True,True,,,True
46,https://www.sreality.cz/detail/prodej/dum/rodinny/cheb-trsnice-/2013378124,"Cheb - Tršnice, okres Cheb",cheb,"rodinne-domy
",5 490 000 Kč za nemovitost,02.10.2022,Smíšená,Dobrý,Samostatný,Patrový,4 včetně 1 podzemního,192.0,354,354.0,504.0,,,,Místní zdroj,Lokální tuhá paliva,,Veřejná kanalizace,"Vlak, Silnice",,Třída G - Mimořádně nehospodárná,,Částečně,Bidli,2761.222222222222,47,Nothing,230V,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1060794,12.3997178,5490000,,,,,
4483,https://www.sreality.cz/detail/prodej/dum/chata/husinec--/1299720012,"Husinec, okres Prachatice",prachatice,"chaty
",2 890 000 Kč za nemovitost,13.10.2022,Smíšená,Dobrý,Samostatný,Patrový,3 včetně 1 podzemního,,130,,362.0,,,,Místní zdroj,"Lokální tuhá paliva, Ústřední dálkové",,Jímka,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,2920.470588235294,4693,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"230V, 400V","20,0 kWh/m^2 za rok",Okraj obce,3.0,,2013.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0549583,13.9869724,2890000,,,,,
2104,https://www.sreality.cz/detail/prodej/dum/na-klic/benesov--/3043254620,"Benešov, okres Benešov",benesov,"projekty-na-klic
",4 999 000 Kč za nemovitost,Včera,Cihlová,Novostavba,Samostatný,Přízemní,,,128,,1.0,,,,,,,,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,CANABA rodinné domy,198.52941176470588,2201,včetně DPH,,"126,0 kWh/m^2 za rok",,,,,,,,,Zobrazit průkaz energetické náročnosti budovy,,,,,,,,,,,,,,,,,,,,,,,,,,49.7818921,14.6869121,4999000,,,True,,
5443,https://www.sreality.cz/detail/prodej/dum/rodinny/stezery-stezery-zamecka/3615586652,"Zámecká, Stěžery",hradec-kralove,"rodinne-domy
",15 890 000 Kč za nemovitost,21.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,159.0,194,,2177.0,,,,Dálkový vodovod,"Ústřední tuhá paliva, Ústřední elektrické",Plynovod,"Veřejná kanalizace, ČOV pro celý objekt","Dálnice, Silnice, MHD",Asfaltová,Třída C - Úsporná,,Částečně,EVROPA realitní kancelář HRADEC KRÁLOVÉ,1603.9333333333334,5697,Nothing,"230V, 400V",,Okraj obce,1.0,2.0,,0.0,,,"Internet, Kabelová televize",,1.0,,,,,10 m2,,,,,,,,,,,,,,,,,,,,50.2143726,15.7470698,15890000,,,,,
2124,https://www.sreality.cz/detail/prodej/dum/undefined/trhovy-stepanov-trhovy-stepanov-/821537116,"Trhový Štěpánov, okres Benešov",benesov,"vicegeneracni-domy
",3 999 000 Kč za nemovitost,05.10.2022,Smíšená,Před rekonstrukcí,Samostatný,Patrový,2. podlaží z celkem 2,286.0,352,,286.0,,,Ihned,,,,,,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,REALITY PRORADOST Vitaliya Kosteleba,1056.75,2222,Nothing,,,Centrum obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7116864,15.0135299,3999000,,,,,
339,https://www.sreality.cz/detail/prodej/dum/chalupa/chodov-chodov-/1776428620,"Chodov, okres Karlovy Vary",karlovy-vary,"chalupy
",2 490 000 Kč za nemovitost,16.10.2022,Cihlová,V rekonstrukci,Samostatný,Patrový,2,75.0,110,110.0,684.0,633.0,1,Ihned,Studna,Ústřední tuhá paliva,,Septik,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0.0,0,VOYTA Reality,2164.3636363636365,355,Nothing,"230V, 400V",,Klidná část obce,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0696359,12.8603301,2490000,,,,,
981,https://www.sreality.cz/detail/prodej/dum/vila/stankov-stankov-i-plzenska/678594124,"Plzeňská, Staňkov - Staňkov I",domazlice,"vily
",7 990 000 Kč za nemovitost,18.10.2022,Cihlová,Dobrý,,Patrový,3,510.0,800,500.0,2096.0,1586.0,5 m2,,Dálkový vodovod,,Plynovod,,,,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,,Částečně,Premium RealCar s.r.o.,694.1875,1020,Nothing,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5583173,13.0734964,7990000,,,,,
1684,https://www.sreality.cz/detail/prodej/dum/rodinny/decin-decin-xxi-horni-oldrichov-bynovska/3201652300,"Bynovská, Děčín - Děčín XXI-Horní Oldřichov",decin,"rodinne-domy
",5 500 000 Kč za nemovitost,11.10.2022,Smíšená,Velmi dobrý,Samostatný,Přízemní,2. podlaží z celkem 1,83.0,83,83.0,999.0,,,Ihned,Dálkový vodovod,"Lokální tuhá paliva, Ústřední elektrické",,Jímka,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída F - Velmi nehospodárná č. 264/2020 Sb. podle vyhlášky,,0,REALITY ŠIROKÝ,1518.5555555555557,1766,"včetně provize, právního servisu, bankovní úschovy",230V,"281,0 kWh/m^2 za rok",Klidná část obce,2.0,,,0.0,,,Internet,,,,,,,,,Rezervováno,,,,,,,,,,,,,,,,,,50.7790876,14.171118,5500000,True,True,,,
5369,https://www.sreality.cz/detail/prodej/dum/na-klic/chrudim--/285022556,"Chrudim, okres Chrudim",chrudim,"projekty-na-klic
",9 711 000 Kč za nemovitost,Dnes,Cihlová,Projekt,Samostatný,Přízemní,,64.0,89,89.0,402.0,,,,,,,,,Dlážděná,,,0,Bidli,1771.2222222222222,5617,Nothing,,,Klidná část obce,,,,0.0,,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9511458,15.7947559,9711000,,,,,
494,https://www.sreality.cz/detail/prodej/dum/rodinny/lesna-lesna-/2310690380,"Lesná, okres Tachov",tachov,"rodinne-domy
",2 800 000 Kč za nemovitost,13.10.2022,Cihlová,Před rekonstrukcí,Samostatný,Patrový,2,280.0,220,,6133.0,,1,,Dálkový vodovod,Ústřední tuhá paliva,,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná,,,Dumrealit.cz Bonus,544.2857142857143,517,Nothing,230V,,,3.0,,,,,,"Telefon, Internet, Kabelová televize",,,,,,,,,,,,,,,,,,,,,,,,,,,49.7541723,12.5376709,2800000,,,,,
5718,https://www.sreality.cz/detail/prodej/dum/rodinny/jicin-holinske-predmesti-b--cenka/2237179724,"B. Čeňka, Jičín - Holínské Předměstí",jicin,"rodinne-domy
",12 000 000 Kč za nemovitost (k jednání),06.10.2022,Cihlová,Dobrý,Samostatný,Patrový,,,220,,595.0,,110 m2,,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Vlak, Dálnice, Silnice, Autobus",,Třída G - Mimořádně nehospodárná,,0,BEplan finanční plánování,653.7222222222222,5984,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu, cena k jednání","230V, 400V",,Klidná část obce,,20.0,,0.0,,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4425324,15.3546704,12000000,True,True,True,True,True
3555,https://www.sreality.cz/detail/prodej/dum/zemedelska-usedlost/nesuchyne-nesuchyne-/646567756,"Nesuchyně, okres Rakovník",rakovnik,"zemedelske-usedlosti
",9 900 000 Kč za nemovitost,11.10.2022,Smíšená,Velmi dobrý,Samostatný,Patrový,2 včetně 1 podzemního,,804,,4052.0,3072.0,,,"Místní zdroj, Dálkový vodovod",,,,,,Třída G - Mimořádně nehospodárná,,,Kateřina Pospíšilová,1964.0,3718,Nothing,"230V, 400V",,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1795593,13.6878984,9900000,,,,,
598,https://www.sreality.cz/detail/prodej/dum/rodinny/zruc-senec-zruc-tremosenska/235948380,"Třemošenská, Zruč-Senec - Zruč",plzen-sever,"rodinne-domy
",6 750 000 Kč za nemovitost,Včera,Cihlová,Před rekonstrukcí,Samostatný,Přízemní,1. podlaží z celkem 2,158.0,158,,662.0,,1,Ihned,"Místní zdroj, Dálkový vodovod",,Plynovod,Veřejná kanalizace,MHD,Asfaltová,Třída G - Mimořádně nehospodárná,,0,Fincentrum Reality,1590.2941176470588,624,Nothing,230V,,Okraj obce,1.0,,,,,,Internet,,,,,6 750 000 Kč za nemovitost,8 250 000 Kč,,,,,,,,,,,,,,,,,,,,,49.808804,13.426094,6750000,,,,,
5047,https://www.sreality.cz/detail/prodej/dum/rodinny/batelov-batelov-trestska/2079777116,"Třešťská, Batelov",jihlava,"rodinne-domy
",7 590 000 Kč za nemovitost,19.10.2022,Cihlová,Dobrý,Řadový,Přízemní,1. podlaží z celkem 1,490.0,490,261.0,490.0,,,,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,0.0,1,Fincentrum Reality,873.5384615384615,5275,Nothing,400V,,Centrum obce,,,,,,,"Telefon, Internet, Satelit, Kabelová televize",,,,,,,,,,,,,,,,,,,,,,,,,,,49.3137081,15.3990299,7590000,,,,,
4176,https://www.sreality.cz/detail/prodej/dum/chata/holubov-trisov-/219346508,"Holubov - Třísov, okres Český Krumlov",cesky-krumlov,"chaty
",1 390 000 Kč za nemovitost,11.10.2022,Dřevěná,Dobrý,Samostatný,Patrový,,,36,,1.0,,,,,,,,,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,0.0,Částečně,NEXT REALITY JINDŘICHŮV HRADEC,2125.6666666666665,4373,Nothing,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8837093,14.3490768,1390000,,,,,
4521,https://www.sreality.cz/detail/prodej/dum/rodinny/mystice-vysice-/1218705228,"Myštice - Výšice, okres Strakonice",strakonice,"rodinne-domy
",3 189 000 Kč za nemovitost (k jednání),17.10.2022,Cihlová,Před rekonstrukcí,Samostatný,Přízemní,1,236.0,237,253.0,1505.0,993.0,17 m2,Ihned,Studna,Lokální tuhá paliva,,,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,1,Reality MOJE,3913.75,4731,Nothing,"230V, 400V",,Okraj obce,1.0,,,0.0,,,Satelit,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4543116,13.9969593,3189000,,,,,
3974,https://www.sreality.cz/detail/prodej/dum/na-klic/praha-klanovice-/2028516940,Praha 9 - Klánovice,praha-9,"projekty-na-klic
",12 500 000 Kč za nemovitost,12.09.2022,Cihlová,Projekt,Samostatný,Patrový,2,73.0,108,,396.0,,,,,,,,,,Třída B - Velmi úsporná,,,FINMARK CONSULTING,524.9375,4157,"vč. provize a právního servisu, vč. DPH",,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0989555,14.6803218,12500000,,,,,
5818,https://www.sreality.cz/detail/prodej/dum/rodinny/jaromer-prazske-predmesti-husova/3303532364,"Husova, Jaroměř - Pražské Předměstí",nachod,"rodinne-domy
",5 300 000 Kč za nemovitost (k jednání),12.10.2022,Cihlová,Před rekonstrukcí,Samostatný,Patrový,2,190.0,500,,265.0,,86 m2,Ihned,Místní zdroj,,Plynovod,Veřejná kanalizace,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,0,TOTU reality s.r.o.,519.2352941176471,6086,Cena k jednání. Cena včetně právního servisu s advokátní úschovou a poplatků spojených s převodem.,230V,,Centrum obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3556297,15.9148038,5300000,,True,,True,True
1039,https://www.sreality.cz/detail/prodej/dum/rodinny/usti-nad-labem-krasne-brezno-svadovska/2099754828,"Svádovská, Ústí nad Labem - Krásné Březno",usti-nad-labem,"rodinne-domy
",3 200 000 Kč za nemovitost,05.10.2022,Smíšená,Dobrý,Samostatný,Patrový,3 včetně 1 podzemního,,120,,160.0,,,,,Lokální plynové,,Veřejná kanalizace,MHD,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,892.5,1080,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,230V,,Okraj obce,3.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6632528,14.0799926,3200000,,,,,
2277,https://www.sreality.cz/detail/prodej/dum/rodinny/pchery--/284424012,"Pchery, okres Kladno",kladno,"rodinne-domy
",13 990 000 Kč za nemovitost (k jednání),18.10.2022,Cihlová,Novostavba,Samostatný,Patrový,2,167.0,252,,599.0,,,,Dálkový vodovod,,,Veřejná kanalizace,,,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,,0,RE/MAX G8 Reality,1909.111111111111,2382,včetně právního servisu a odměny RK,230V,,Klidná část obce,2.0,2.0,,,,,,Zobrazit průkaz energetické náročnosti budovy,,,,13 990 000 Kč za nemovitost (k jednání),14 990 000 Kč,,,,,,,,,,,,,,,,,,,,,50.1937774,14.1178179,13990000,,True,,,
1343,https://www.sreality.cz/detail/prodej/dum/rodinny/zatec-zatec-nakladni/2370067292,"Nákladní, Žatec",louny,"rodinne-domy
",7 900 000 Kč za nemovitost,20.10.2022,Smíšená,Velmi dobrý,Řadový,Patrový,3,173.0,227,,173.0,,,,,,,,,,,,,Molík reality,330.7058823529412,1403,Nothing,,,Centrum obce,,,,,,,,,,,,7 900 000 Kč za nemovitost,9 999 900 Kč,,,,,,,,,,,,,,,,,,,,,50.3265572,13.5432964,7900000,,,,,
