,link,location,district,HouseType,total price,Update,Building,Object status,Location of the house,Home type,The floor,Built-up area,Usable area,Floor area,Land area,Garden area,Store,Move-in date,Water,Heating,Gas,Garbage,Transport,Communication,Energy efficiency of the building,Barrier-free,Equipment,companyName,proximityIndex,Index,Note on price,Electricity,Indicator of energy efficiency of the building,Object location,Parking,Garage,Year of reconstruction,Lift,Cena,Year of approval,Telecommunication,Certificate of energy performance of the building,Swimming pool,Number of flats,Housing costs,Discounted,Original price,Pool area,Ceiling height,Condition,Soil construction,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,Auction decree,Expert opinion.1,Inspection date,Sale start date,Minimum purchase price,The date of the 1st inspection,The date of the 2nd inspection,Date of completion of construction,Inspection date to,locationLat,locationLong,price,provize,právního,dph,poplatků,cena k jednání
5706,https://www.sreality.cz/detail/prodej/dum/rodinny/nova-paka-nova-paka-krizova/2132277068,"Křížová, Nová Paka",jicin,"rodinne-domy
",8 498 000 Kč za nemovitost,23.09.2022,Cihlová,Dobrý,Samostatný,Patrový,3,,250,,1060.0,904.0,23 m2,,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Vlak, Silnice, Autobus","Dlážděná, Asfaltová",Třída G - Mimořádně nehospodárná,,,EVROPA realitní kancelář VRCHLABÍ,612.8125,5972,"včetně provize, včetně právního servisu","230V, 400V",,Klidná část obce,1.0,1.0,,,,,Kabelové rozvody,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4897988,15.5034776,8498000,True,True,,,
1407,https://www.sreality.cz/detail/prodej/dum/rodinny/libesice-zimor-/705398348,"Liběšice - Zimoř, okres Litoměřice",litomerice,"rodinne-domy
",7 990 000 Kč za nemovitost,20.10.2022,Cihlová,Po rekonstrukci,Samostatný,Patrový,3,162.0,398,359.0,2172.0,2010.0,30 m2,Ihned,Studna,"Lokální tuhá paliva, Lokální elektrické",Plynovod,"Septik, Trativod","Vlak, Dálnice, Silnice, Autobus","Asfaltová, Zpevněná",,0.0,,TRUST Reality,1658.2142857142858,1468,Nothing,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5789928,14.3158401,7990000,,,,,
262,https://www.sreality.cz/detail/prodej/dum/rodinny/zlutice-zlutice-28--rijna/276805196,"28. října, Žlutice",karlovy-vary,"rodinne-domy
",2 700 000 Kč za nemovitost,09.07.2022,Smíšená,Před rekonstrukcí,V bloku,Patrový,,,169,,202.0,,,Ihned,Dálkový vodovod,Lokální tuhá paliva,,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná,,,"Broker Consulting, a.s.",317.8333333333333,274,Nothing,230V,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,50.0905789,13.165331,2700000,,,,,
1104,https://www.sreality.cz/detail/prodej/dum/vila/usti-nad-labem-nestemice-narodni/418502476,"Národní, Ústí nad Labem - Neštěmice",usti-nad-labem,"vily
",3 999 000 Kč za nemovitost,Včera,Cihlová,Před rekonstrukcí,,Patrový,3,87.0,350,280.0,331.0,,1,,Dálkový vodovod,Ústřední dálkové,,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná,,,OMEGA REALITY,1346.8333333333333,1152,"<selenium.webdriver.remote.webelement.WebElement (session=""b0aef8c843c065071dd06ffb944cafe0"", element=""bf56411f-6a1b-49f8-8f8b-095e8e9c4735"")>",230V,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6711093,14.1027381,3999000,,,,,
2454,https://www.sreality.cz/detail/prodej/dum/rodinny/svinarov-svinarov-u-vyboru/554796876,"U Výboru, Svinařov",kladno,"rodinne-domy
",8 900 000 Kč za nemovitost,11.10.2022,Smíšená,Po rekonstrukci,Samostatný,Patrový,2,270.0,262,242.0,1006.0,736.0,,Ihned,,,,,,,Třída G - Mimořádně nehospodárná,0.0,,ORBISREALITY,2217.9444444444443,2567,Informace o ceně v RK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1806451,14.0499908,8900000,,,,,
2896,https://www.sreality.cz/detail/prodej/dum/chata/vlastejovice-vlastejovice-/1538492236,"Vlastějovice, okres Kutná Hora",kutna-hora,"chaty
",5 400 000 Kč za nemovitost,19.09.2022,Dřevěná,Velmi dobrý,Samostatný,Přízemní,,40.0,40,40.0,2698.0,2658.0,,,"Místní zdroj, Dálkový vodovod",Lokální tuhá paliva,,"Veřejná kanalizace, Jímka",,,,,Částečně,CENTURY 21 AZ Reality,868.2,3033,Nothing,,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7313038,15.1747888,5400000,,,,,
3584,https://www.sreality.cz/detail/prodej/dum/rodinny/praha-praha-reporyje-/874023260,Praha 5 - Praha-Řeporyje,praha-5,"rodinne-domy
",19 000 000 Kč za nemovitost,Včera,Cihlová,Novostavba,Řadový,Přízemní,1. podlaží z celkem 2,,206,,296.0,,,,,,,,,,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,,,TL Real,1328.904761904762,3748,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",,"10,0 kWh/m^2 za rok",,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0323364,14.3114667,19000000,True,True,True,True,
2950,https://www.sreality.cz/detail/prodej/dum/chata/mlada-boleslav--/2646939468,"Mladá Boleslav, okres Mladá Boleslav",mlada-boleslav,"chaty
",10 990 000 Kč za nemovitost,Včera,Cihlová,Novostavba,Řadový,Přízemní,1,116.0,100,,220.0,,,Ihned,,,,,,,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,,0,RE/MAX Gold,598.7894736842105,3088,vč. real. a právního servisu,,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4116187,14.9031301,10990000,,,,,
5416,https://www.sreality.cz/detail/prodej/dum/chalupa/hradec-nad-svitavou--/985783132,"Hradec nad Svitavou, okres Svitavy",svitavy,"chalupy
",2 418 000 Kč za nemovitost,28.08.2022,Smíšená,Dobrý,Samostatný,Přízemní,,221.0,221,,560.0,339.0,1,,Dálkový vodovod,Lokální tuhá paliva,,Veřejná kanalizace,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,1,Bidli,1909.4166666666667,5669,Cena vč. odměny RK a právních služeb.,230V,,Klidná část obce,1.0,,,0.0,,,Satelit,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7114306,16.4805825,2418000,,,,,
1069,https://www.sreality.cz/detail/prodej/dum/rodinny/usti-nad-labem-severni-terasa-rabasova/1381329500,"Rabasova, Ústí nad Labem - Severní Terasa",usti-nad-labem,"rodinne-domy
",6 290 000 Kč za nemovitost (k jednání),19.10.2022,Smíšená,Dobrý,Samostatný,Patrový,,114.0,160,120.0,2081.0,1914.0,1,Ihned,Dálkový vodovod,"Ústřední plynové, Ústřední elektrické",Plynovod,Veřejná kanalizace,"Silnice, MHD",,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,FINOSA REALITY,931.7777777777778,1112,Nothing,400V,,Klidná část obce,,1.0,2001.0,0.0,,,"Telefon, Internet",,,,,6 290 000 Kč za nemovitost (k jednání),7 290 000 Kč,,,,,,,,,,,,,,,,,,,,,50.6826016,14.02943,6290000,,,,,
