,location,Celková cena,Poznámka k ceně,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Podlaží,Užitná plocha,Plocha podlahová,Balkón,Parkování,Garáž,Voda,Topení,Plyn,Odpad,Telekomunikace,Elektřina,Energetická náročnost budovy,Bezbariérový,Výtah,Index,Zlevněno,Původní cena,Sklep,Umístění objektu,Rok kolaudace,Doprava,Komunikace,Ukazatel energetické náročnosti budovy,Vybavení,Terasa,Lodžie,Náklady na bydlení,Datum nastěhování,Plocha zahrady,ID,Převod do OV,Rok rekonstrukce,Stav,Plocha zastavěná,Datum ukončení výstavby,Datum zahájení prodeje,Datum prohlídky,Typ bytu,Průkaz energetické náročnosti budovy,Cena,Výška stropu
36,"Dr. Martínka, Ostrava - Hrabůvka",2 245 000 Kč za nemovitost,,,11.10.2022,Panelová,Po rekonstrukci,Osobní,10. podlaží z celkem 12,54 m2,,,,,,,,,,,Třída G - Mimořádně nehospodárná,,,37,,,1,,,,,,,,,,,,2760259404,,,,,,,,,,,
37,"Opavská, Teplice",,"Info v RK, 500",4701/1171,11.10.2022,Panelová,Po rekonstrukci,Družstevní,3. podlaží z celkem 3,82 m2,82 m2,,1,1,Dálkový vodovod,Ústřední dálkové,Plynovod,Veřejná kanalizace,"Telefon, Internet, Kabelová televize",230V,,0,,38,,,2 m2,,,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,,Částečně,,5 m2,,Ihned,,,,,,,,,,Podkrovní,,Informace o ceně na dotaz,
38,"Tomáškova, Brno",5 856 375 Kč za nemovitost,"neplatíte žádnou provizi RK, cena je včetně DPH i s právním servisem",BT-B253,11.10.2022,Cihlová,Novostavba,Osobní,2. podlaží,53 m2,43 m2,,,,,,,,,,Třída B - Velmi úsporná,,,39,,,,,,,,,,10 m2,,,,,,,,,,,,,,,,
39,"Rejskova, Praha 2 - Vinohrady",7 750 000 Kč za nemovitost,bez dalších poplatků,LK143303,Dnes,Cihlová,Velmi dobrý,Osobní,6. podlaží z celkem 6,60 m2,60 m2,,,,Dálkový vodovod,Lokální plynové,,Veřejná kanalizace,,"230V, 400V",Třída G - Mimořádně nehospodárná,,1,40,,,,Centrum obce,1900,,,,,,,,,,,,,,,,,,,,,
40,"Novovysočanská, Praha 9 - Vysočany",5 290 000 Kč za nemovitost,Včetně provize RK. Hypotéka možná.,007039,11.10.2022,Cihlová,Novostavba,Osobní,1. podlaží z celkem 5 včetně 1 podzemního,71 m2,31 m2,,,,Dálkový vodovod,Ústřední plynové,,,"Telefon, Internet, Kabelová televize",400V,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,1,41,,,3 m2,,,MHD,,,Částečně,16 m2,,,Ihned,20 m2,,,,,898 m2,,,,,,,"2,6 m"
41,"Okružní, Příbram - Příbram VII",3 275 000 Kč za nemovitost,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,813517,Dnes,Cihlová,Velmi dobrý,Osobní,2. podlaží z celkem 4 včetně 1 podzemního,36 m2,,1,,,Dálkový vodovod,Ústřední dálkové,,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,42,,,1,Centrum obce,,"Silnice, MHD, Autobus",,,Částečně,,,,,,,,,,,,,,,,,
42,"Frýdek-Místek, okres Frýdek-Místek",3 390 000 Kč za nemovitost,"včetně provize, včetně právního servisu",00150,11.10.2022,Cihlová,Po rekonstrukci,Osobní,1. podlaží z celkem 4 včetně 1 podzemního,60 m2,60 m2,,,,Dálkový vodovod,Ústřední elektrické,,Veřejná kanalizace,,230V,Třída G - Mimořádně nehospodárná,,0,43,,,5 m2,Klidná část obce,,"Vlak, Silnice, Autobus",,,Částečně,,,2300 + elektrika,,,,,,,,,,,,,,
43,"Šámalova, Brno - Židenice",,"info v RK, + provize RK, včetně právního servisu",A662,11.10.2022,Cihlová,Po rekonstrukci,Osobní,3. podlaží z celkem 3,109 m2,,,,,Dálkový vodovod,Ústřední elektrické,,Veřejná kanalizace,"Internet, Kabelová televize, Kabelové rozvody",230V,Třída G - Mimořádně nehospodárná,,0,44,,,,,,"Vlak, Silnice, MHD, Autobus",Asfaltová,,0,52 m2,,,,,,Ano,2021,,,,,,Podkrovní,,Informace o ceně na dotaz,
44,"Šámalova, Brno - Židenice",7 990 000 Kč za nemovitost,"včetně DPH, včetně poplatků, včetně právního servisu",A658,11.10.2022,Cihlová,Po rekonstrukci,Družstevní,3. podlaží z celkem 3,100 m2,,,,,Dálkový vodovod,Lokální elektrické,,Veřejná kanalizace,Internet,230V,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,0,45,,,,,,"Vlak, Silnice, MHD, Autobus",Asfaltová,"82,0 kWh/m^2 za rok",0,,,,,,,Ano,2021,,,,,,,,,
45,"Šámalova, Brno - Brno-Židenice",3 995 000 Kč za nemovitost,"včetně DPH, včetně poplatků, včetně právního servisu",A657,11.10.2022,Cihlová,Po rekonstrukci,Družstevní,3. podlaží z celkem 3,50 m2,,,,,Dálkový vodovod,Lokální elektrické,,Veřejná kanalizace,Internet,230V,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,0,46,,,,,,"Vlak, Silnice, MHD, Autobus",Asfaltová,"82,0 kWh/m^2 za rok",0,,,,,,,Ano,2021,,,,,,,,,
46,"Lipno nad Vltavou, okres Český Krumlov",,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",00047,11.10.2022,Cihlová,Velmi dobrý,Osobní,2. podlaží,65 m2,60 m2,4 m2,1,,Dálkový vodovod,Ústřední dálkové,Plynovod,Veřejná kanalizace,,230V,Třída G - Mimořádně nehospodárná,,1,47,6 371 000 Kč za nemovitost,6 671 000 Kč,,Klidná část obce,,Autobus,Asfaltová,,1,,,,,,,,,,,,,,Mezonet,,,
47,"Kotlanova, Brno - Líšeň",7 290 000 Kč za nemovitost,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",00048,11.10.2022,Panelová,Velmi dobrý,Osobní,3. podlaží,89 m2,82 m2,,,,Dálkový vodovod,Ústřední dálkové,Plynovod,Veřejná kanalizace,,230V,Třída G - Mimořádně nehospodárná,,1,48,,,3 m2,Klidná část obce,,"Silnice, MHD, Autobus",,,Částečně,,5 m2,,,,,,,,,,,,,,,
48,"Hněvkovského, Praha 4 - Chodov",5 600 000 Kč za nemovitost,cena je uvedena včetně všech poplatků a provize rk,N97048,Včera,Panelová,Dobrý,Osobní,1. podlaží z celkem 12 včetně 1 podzemního,64 m2,,,,,Dálkový vodovod,Ústřední dálkové,Plynovod,Veřejná kanalizace,,230V,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,1,1,49,,,1 m2,Sídliště,,"Dálnice, Silnice, MHD",Asfaltová,,0,,4 m2,,,,,,,,,,,,,,,
49,"Galandova, Praha 6 - Řepy",,cena k jednání,0347,Včera,Panelová,Před rekonstrukcí,Osobní,9. podlaží z celkem 12,48 m2,48 m2,,,,Dálkový vodovod,Ústřední dálkové,,Veřejná kanalizace,"Internet, Kabelová televize",230V,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,1,50,4 580 000 Kč za nemovitost,4 980 000 Kč,4 m2,Sídliště,,"Silnice, MHD, Autobus",Asfaltová,,0,,,,Ihned,,,,,,,,,,,Zobrazit průkaz energetické náročnosti budovy,,
50,"Studentská, Praha 6 - Dejvice",9 508 000 Kč za nemovitost,,ST2,Včera,Cihlová,Po rekonstrukci,Osobní,1. podlaží z celkem 6,50 m2,50 m2,,,,,,,,,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,1,51,,,2 m2,Centrum obce,,"Silnice, MHD, Autobus",,,,,,,,,,,,,50 m2,,,,,,,
51,"Brodská, Žďár nad Sázavou - Žďár nad Sázavou 3",2 690 000 Kč za nemovitost,cena k jednání,124001,11.10.2022,Cihlová,Velmi dobrý,Osobní,3. podlaží z celkem 4,42 m2,42 m2,,,,,Ústřední dálkové,,Veřejná kanalizace,,230V,,,,52,,,1,,,"Vlak, Silnice, MHD, Autobus",,,,,,,,,,,,,,,,,,,,
