,location,Celková cena,Poznámka k ceně,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Podlaží,Užitná plocha,Plocha podlahová,Balkón,Parkování,Garáž,Voda,Topení,Plyn,Odpad,Telekomunikace,Elektřina,Energetická náročnost budovy,Bezbariérový,Výtah,Index,Zlevněno,Původní cena,Sklep,Umístění objektu,Rok kolaudace,Doprava,Komunikace,Ukazatel energetické náročnosti budovy,Vybavení,Terasa,Lodžie
0,"Budilova, Praha 8 - Libeň",8 700 000 Kč za nemovitost,včetně provize,00697,11.10.2022,Smíšená,Novostavba,Osobní,6. podlaží,68 m2,58 m2,9 m2,1,1,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,Internet,230V,Třída G - Mimořádně nehospodárná,1,1,0,,,,,,,,,,,
1,"Pod Rapidem, Praha 10 - Strašnice",,"včetně provize, cena k jednání",00699,11.10.2022,Cihlová,Velmi dobrý,Osobní,3. podlaží,110 m2,110 m2,,,,,,,,,,Třída G - Mimořádně nehospodárná,,,1,11 750 000 Kč za nemovitost (k jednání),12 790 000 Kč,8 m2,,,,,,,,
2,"Paťanka, Praha 6 - Dejvice",12 900 000 Kč za nemovitost,včetně právního servisu,00698,13.10.2022,Skeletová,Velmi dobrý,Osobní,2. podlaží z celkem 6,107 m2,85 m2,22 m2,,1,Dálkový vodovod,Ústřední dálkové,,,"Internet, Kabelová televize",230V,Třída G - Mimořádně nehospodárná,,1,2,,,4 m2,Klidná část obce,2005,"Vlak, Silnice, MHD",Dlážděná,,,,
3,"Veverkova, Praha 7 - Holešovice",10 090 000 Kč za nemovitost,včetně provize,00715,13.10.2022,Cihlová,Velmi dobrý,Osobní,4. podlaží,56 m2,56 m2,1,,,Dálkový vodovod,Ústřední dálkové,,Veřejná kanalizace,Internet,"230V, 400V",Třída G - Mimořádně nehospodárná,,1,3,,,,,,,,,,,
4,"Honzíkova, Praha 10 - Dolní Měcholupy",4 500 000 Kč za nemovitost,,00705,13.10.2022,Cihlová,Velmi dobrý,Družstevní,6. podlaží,33 m2,28 m2,,,,Dálkový vodovod,Ústřední dálkové,,Veřejná kanalizace,"Internet, Kabelová televize",230V,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,1,1,4,,,,,2020,"Silnice, MHD",Asfaltová,"77,0 kWh/m^2 za rok",1,,
5,"Kakosova, Praha 5 - Řeporyje",12 250 000 Kč za nemovitost,"včetně poplatků, včetně provize",00708,13.10.2022,Cihlová,Novostavba,Osobní,3. podlaží,115 m2,72 m2,12 m2,1,1,Dálkový vodovod,Ústřední dálkové,,Veřejná kanalizace,Internet,"230V, 400V",Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,1,1,5,,,3 m2,,2017,MHD,Betonová,"70,0 kWh/m^2 za rok",,31 m2,
6,"Vokovická, Praha 6 - Vokovice",5 190 000 Kč za nemovitost,,00712,Včera,Panelová,Velmi dobrý,Osobní,8. podlaží z celkem 12,46 m2,43 m2,,,,Dálkový vodovod,Ústřední dálkové,Plynovod,,"Internet, Kabelová televize","230V, 400V",Třída G - Mimořádně nehospodárná,,1,6,,,1,,,MHD,,,Částečně,,1
7,"Dandova, Praha 9 - Horní Počernice",6 750 000 Kč za nemovitost,včetně provize,00713-1,13.10.2022,Cihlová,Velmi dobrý,Osobní,3. podlaží,60 m2,59 m2,1 m2,1,1,Dálkový vodovod,Ústřední plynové,,Veřejná kanalizace,"Internet, Kabelová televize","230V, 400V",Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,0,7,,,1 m2,,2006,"Silnice, MHD",,"93,0 kWh/m^2 za rok",1,,
8,"Na vinobraní, Praha 10 - Záběhlice",,+ provize RK,00719,11.10.2022,Panelová,Velmi dobrý,Osobní,5. podlaží,47 m2,40 m2,,1,1,Dálkový vodovod,Ústřední plynové,Plynovod,,"Internet, Kabelová televize","230V, 400V",Třída G - Mimořádně nehospodárná,1,1,8,5 650 000 Kč za nemovitost,6 450 000 Kč,7 m2,,,MHD,Betonová,,Částečně,,3 m2
