,location,Celková cena,Poznámka k ceně,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Podlaží,Užitná plocha,Plocha podlahová,Balkón,Parkování,Garáž,Voda,Topení,Plyn,Odpad,Telekomunikace,Elektřina,Energetická náročnost budovy,Bezbariérový,Výtah,Index,Zlevněno,Původní cena,Sklep,Umístění objektu,Rok kolaudace,Doprava,Komunikace
0,"Budilova, Praha 8 - Libeň",8 700 000 Kč za nemovitost,včetně provize,00697,11.10.2022,Smíšená,Novostavba,Osobní,6. podlaží,68 m2,58 m2,9 m2,1,1,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,Internet,230V,Třída G - Mimořádně nehospodárná,1,1,0,,,,,,,
1,"Pod Rapidem, Praha 10 - Strašnice",,"včetně provize, cena k jednání",00699,11.10.2022,Cihlová,Velmi dobrý,Osobní,3. podlaží,110 m2,110 m2,,,,,,,,,,Třída G - Mimořádně nehospodárná,,,1,11 750 000 Kč za nemovitost (k jednání),12 790 000 Kč,8 m2,,,,
2,"Paťanka, Praha 6 - Dejvice",12 900 000 Kč za nemovitost,včetně právního servisu,00698,13.10.2022,Skeletová,Velmi dobrý,Osobní,2. podlaží z celkem 6,107 m2,85 m2,22 m2,,1,Dálkový vodovod,Ústřední dálkové,,,"Internet, Kabelová televize",230V,Třída G - Mimořádně nehospodárná,,1,2,,,4 m2,Klidná část obce,2005,"Vlak, Silnice, MHD",Dlážděná
